Source,Target
260265236,83508245
787774368566816768,83508245
857464194626727936,83508245
1307814874999742464,83508245
2550603348,83508245
588883728,83508245
2151791810,83508245
260265236,83508245
1218282094213967875,83508245
298222364,83508245
1621356932,83508245
1178575157364850689,83508245
184975034,83508245
458039162,83508245
1421131101922332672,83508245
857464194626727936,83508245
1023170244766883840,83508245
19352912,83508245
1388453968888619009,83508245
766392155258679296,83508245
965449397717749760,83508245
1408913981293662208,83508245
903430820312076289,83508245
3050546779,83508245
1307814874999742464,83508245
2331287820,83508245
2550603348,83508245
810723502768713728,83508245
588883728,83508245
2735613917,83508245
2151791810,83508245
1446352422272528385,83508245
76768423,83508245
184853651,83508245
588497903,4568748862
1419746989449744396,4568748862
1442234721505742858,4568748862
1440509126216347656,4568748862
1446352422272528385,4568748862
1440509126216347656,4568748862
2318113219,4568748862
17111337,4568748862
1421263144274567172,44070432
113654419,44070432
2150171849,44070432
1072692868651737088,44070432
1238641643558928384,44070432
733429965333520390,44070432
18158343,44070432
1421263144274567172,44070432
186980225,44070432
51346243,44070432
15331235,44070432
180088458,44070432
1446352422272528385,44070432
3010165940,44070432
76768423,44070432
15331235,44070432
461582174,44070432
2285515771,44070432
129316450,1425866189780160514
16014404,1425866189780160514
182401775,1425866189780160514
2370756440,1425866189780160514
596009099,1425866189780160514
1279885961841819649,1425866189780160514
2212712047,1425866189780160514
2801095093,1425866189780160514
1249029070886666240,1425866189780160514
600234980,1425866189780160514
115587493,1425866189780160514
1707025764,1425866189780160514
1433606604218408963,1425866189780160514
1917792367,1425866189780160514
2797134487,1425866189780160514
154915250,1425866189780160514
2400000572,1425866189780160514
559023147,1425866189780160514
1280337364993429504,1425866189780160514
2693735376,1425866189780160514
1125543746697924609,1425866189780160514
1212150302788345857,1425866189780160514
2693735376,1425866189780160514
165100373,1425866189780160514
494170583,1420552213253038080
1251518605600206850,1420552213253038080
557289715,1420552213253038080
1009785173011988480,1420552213253038080
578590553,1420552213253038080
122999764,1420552213253038080
1423390095562915849,1420552213253038080
1350206209119444996,1420552213253038080
122144451,1420552213253038080
708387548859604992,1420552213253038080
708387548859604992,1420552213253038080
708387548859604992,1420552213253038080
11408322,1420552213253038080
1707025764,1420552213253038080
2369459569,1420552213253038080
1212150302788345857,1420552213253038080
754319153951944704,1420552213253038080
2506299709,1420552213253038080
2363571329,1420552213253038080
104372498,1420552213253038080
600234980,1420552213253038080
1279885961841819649,1420552213253038080
105106236,1420552213253038080
165100373,1420552213253038080
599677550,1420552213253038080
92821882,1420552213253038080
633211148,1420552213253038080
2975160689,1420552213253038080
97904065,1420552213253038080
377591697,1420552213253038080
2693735376,1420552213253038080
11408322,1420552213253038080
1106771831837675521,1420552213253038080
1040405782402084864,1420552213253038080
243903847,1420552213253038080
2801095093,1420552213253038080
716760195729334272,1420552213253038080
896911058459340800,1420552213253038080
1251518605600206850,1420552213253038080
1249029070886666240,1420552213253038080
1277702514,1420552213253038080
494170583,1420552213253038080
633211148,1420552213253038080
2339595207,1420552213253038080
559023147,1420552213253038080
2196475508,1420552213253038080
1280337364993429504,1420552213253038080
281121545,1420552213253038080
2369459569,1420552213253038080
4623339465,1420552213253038080
219566719,1420552213253038080
197607704,1420552213253038080
2975160689,1420552213253038080
3379976578,1420552213253038080
105975090,1420552213253038080
1188166700,1420552213253038080
1279885961841819649,1420552213253038080
1009785173011988480,1420552213253038080
1939552088,1420552213253038080
2807682921,1420552213253038080
2363571329,1420552213253038080
2693735376,1420552213253038080
446272806,1420552213253038080
