,RealNetwork
1385933370090209280,0.0038692811794124016
158095776,0.013542484127943413
1416535505454338050,0.0038692811794124016
1604931252,0.01973333401500325
544695802,0.0038692811794124016
716257068538327040,0.0038692811794124016
258170457,0.0038692811794124016
1086084557009575936,0.05649150521942103
2817389862,0.0038692811794124016
822476228548403200,0.0038692811794124016
2353730881,0.0038692811794124016
921026239808208896,0.0038692811794124016
720934098223542272,0.0038692811794124016
2922779039,0.0038692811794124016
552891173,0.0038692811794124016
982496635,0.0038692811794124016
1433403537329819654,0.0038692811794124016
1175052073605353473,0.0038692811794124016
2784661153,0.0038692811794124016
102887506,0.0038692811794124016
18681111,0.02498781785664528
952980338745147394,0.0038692811794124016
1438871779779530755,0.0038692811794124016
46975259,0.0038692811794124016
1157395568135557120,0.0038692811794124016
21951711,0.06848627687559954
563064119,0.0038692811794124016
277332906,0.11414379479266593
158458133,0.07661176735236569
979827806023618560,0.0038692811794124016
18308257,0.0038692811794124016
846667915,0.0038692811794124016
258916078,0.0038692811794124016
1138564320390836224,0.0038692811794124016
17912334,0.0038692811794124016
2821464243,0.0038692811794124016
928790819145842688,0.0038692811794124016
753638148958216192,0.0038692811794124016
2256955027,0.0038692811794124016
1185936230393024512,0.0038692811794124016
14079041,0.20313726191915116
3021899490,0.0038692811794124016
13880132,0.0038692811794124016
960624707820113920,0.0038692811794124016
52003137,0.0038692811794124016
1887595058,0.0038692811794124016
331864347,0.0038692811794124016
961514730,0.0038692811794124016
70750793,0.0038692811794124016
155629527,0.0038692811794124016
1161351506983038976,0.0038692811794124016
766360387,0.0038692811794124016
150270263,0.021590588981121206
38471212,0.0038692811794124016
83153695,0.0038692811794124016
118937966,0.0038692811794124016
871189841186357248,0.0038692811794124016
293403080,0.0038692811794124016
629539554,0.0038692811794124016
1104422828,0.0038692811794124016
602083976,0.0038692811794124016
1311896805920043009,0.0038692811794124016
1318741345905922048,0.0038692811794124016
25314619,0.0038692811794124016
104300984,0.0038692811794124016
15702055,0.0038692811794124016
1153463878195589125,0.0038692811794124016
15633240,0.0038692811794124016
14991184,0.0038692811794124016
1242522201770856449,0.0038692811794124016
1440522413687521295,0.0038692811794124016
106524304,0.022054902722650684
1292608204845834241,0.0038692811794124016
1446846657551683588,0.0038692811794124016
1389700907697270787,0.0038692811794124016
1445880242707570691,0.0038692811794124016
1545912997,0.0038692811794124016
831084798621782016,0.0038692811794124016
55976571,0.0038692811794124016
305401065,0.0038692811794124016
704798725747531776,0.0038692811794124016
47452040,0.07699869547030687
475298690,0.015477124717649606
16220555,0.046431374152948804
4744498950,0.0038692811794124016
766759351973404672,0.0038692811794124016
47781573,0.0038692811794124016
994077337,0.0038692811794124016
14055736,0.0038692811794124016
1236010900693356549,0.0038692811794124016
1171683272,0.0038692811794124016
1338338931792756737,0.0038692811794124016
562243642,0.0038692811794124016
15772683,0.0038692811794124016
1251340447387172868,0.0038692811794124016
1350484767255519233,0.0038692811794124016
1335046616697372675,0.0038692811794124016
20750271,0.0038692811794124016
1162219997977960449,0.04565751791706637
175259033,0.07263775077841356
130909683,0.0038692811794124016
1364261390614106113,0.0038692811794124016
44416854,0.0038692811794124016
1511003670,0.0038692811794124016
536594609,0.0038692811794124016
24913022,0.04875294286059625
17823761,0.10292287937237007
273683993,0.0038692811794124016
215632349,0.24693444209244955
1156602559378804741,0.0038692811794124016
1156033982586208256,0.0038692811794124016
47338701,0.12615791285474173
139819609,0.0038692811794124016
413514250,0.0038692811794124016
2852899113,0.08800911416884512
1381435843492085760,0.0460444460350076
1189800120,0.0038692811794124016
138418077,0.0038692811794124016
382489139,0.0038692811794124016
374300583,0.0038692811794124016
3226840807,0.0038692811794124016
133863908,0.0038692811794124016
57127265,0.0038692811794124016
142731825,0.006190849887059844
1417929933800751104,0.0038692811794124016
