,0
0,9.187798603454613e-05
1,0.00019133263178035013
2,0.00013672409078479628
3,0.0003207771973238017
4,9.124087591240875e-05
5,0.00013788031988234213
6,9.249838127832763e-05
7,0.00018474043968224645
8,0.00019067594622938316
9,0.00013814698839565296
10,0.00022686025408348456
11,9.132420091324201e-05
12,0.0002840371141829199
13,0.0001386065422287932
14,0.0002343676760101247
15,0.00013642564802182812
16,0.00023275300251373243
17,9.026900162484202e-05
18,0.00023294819232202757
19,0.0001884303749764462
20,9.42951438000943e-05
21,0.00027925160569673273
22,0.0002232740912744485
23,0.00027347310847766635
24,0.0002281021897810219
25,0.00023476382758944503
26,0.0003619581938286128
27,8.979078746520607e-05
28,0.000502145530904775
29,0.0002730251183108846
30,0.00013956084852995905
31,0.00013647529797106722
32,4.571637560574198e-05
33,9.285051067780872e-05
34,0.00014112334180073385
35,8.93415527561869e-05
36,0.0001358080579447714
37,4.6163789123811284e-05
38,4.551661356395084e-05
39,0.0002771362586605081
40,0.00013887602999722247
41,8.881783462119193e-05
42,0.00014055472263868065
43,0.00018436578171091445
44,0.00018191740949608878
45,9.179364787956673e-05
46,9.263547938860583e-05
47,0.00022889580662882256
48,0.00028005974607916355
49,0.00022675736961451248
