,0
0,0.00012905467450921996
1,0.00028611846793664974
2,7.033302487847944e-05
3,0.0001145626145626146
4,0.0001515683333865152
5,0.00018786496059223332
6,0.00017408199226381048
7,0.0003111139474775837
8,6.155801610347064e-05
9,0.00010237510237510238
10,8.80159971069062e-05
11,7.63159854068945e-05
12,0.00014155241427968703
13,0.00017168880805244446
14,0.00014771264771264774
15,4.746482019209291e-05
16,1.861365497729134e-05
17,6.40841549932459e-05
18,0.00013264445082626904
19,0.00014075468620923165
20,9.794327976146157e-06
21,0.00018817518817518817
22,0.00023918546645819373
23,0.0002972866609230245
24,9.13398640671368e-05
25,0.000151435378708106
26,0.00014731378367742007
27,0.00015870356779447686
28,8.026030753303481e-05
29,0.00012905467450921996
30,6.483756483756484e-05
31,0.00024525706343888156
32,0.0001576399303672031
33,0.00013330922421831516
34,7.046597955688866e-05
35,5.446709992164537e-05
36,0.0001926513290149654
37,0.0001281683099864918
38,0.00027366504639231916
39,0.00013774104683195596
40,2.4197751470478745e-05
41,0.00011531602440693351
42,0.00017550017550017555
43,0.000226288862652499
44,0.0001430592339683249
45,0.00023954001226728498
46,0.0003205094114185022
47,6.96682514864333e-05
48,0.00030335825790371254
49,0.0001368990005353642
50,0.0001503717412808322
51,0.00019039109948200858
52,0.0002713161804070895
53,0.00016818766818766818
