Id,Label,timeset,communityid,twittername,first name,last name,political affiliation,indegree,outdegree,degree,eigencentrality
1439990076,,,1,,,,,0,0,0,0
188637506,,,1,,,,,0,0,0,0
108912964,,,1,,,,,0,2,2,0
161562952,,,1,,,,,0,0,0,0
1024105935680221185,,,1,,,,,0,0,0,0
1051169034539020289,,,1,,,,,0,0,0,0
900730131660058625,,,1,,,,,0,0,0,0
2555150671,,,1,,,,,0,2,2,0
1161773396,,,1,,,,,0,2,2,0
156025186,,,1,,,,,0,0,0,0
1354514791,,,1,,,,,0,0,0,0
2516656489,,,1,,,,,0,0,0,0
360677740,,,1,lisahepfner2021,Lisa,Hepfner,Liberal,50,1,51,0.15758
2328551789,,,1,,,,,0,0,0,0
60637549,,,1,,,,,0,0,0,0
1224753522,,,1,,,,,0,3,3,0
89309555,,,1,,,,,0,4,4,0
1490829685,,,1,,,,,0,0,0,0
58319221,,,1,iamIqraKhalid,Iqra,Khalid,Liberal,22,0,22,0.069335
964952442,,,1,,,,,0,4,4,0
2246861179,,,1,,,,,0,0,0,0
838963324113006592,,,1,,,,,0,2,2,0
1319308147165638656,,,1,,,,,0,2,2,0
744595917790130176,,,1,,,,,0,0,0,0
38584709,,,1,,,,,0,2,2,0
1346618752134164481,,,1,,,,,0,1,1,0
96027015,,,1,,,,,0,0,0,0
3142877576,,,1,,,,,0,0,0,0
1337978463446249473,,,1,,,,,0,0,0,0
4230168979,,,1,,,,,0,0,0,0
631988630,,,1,MonaFortier,Mona,Fortier,Liberal,49,0,49,0.210724
30237079,,,1,,,,,0,0,0,0
1348410322667843589,,,1,,,,,0,0,0,0
1235284286468542464,,,1,,,,,0,0,0,0
946856348,,,1,,,,,0,0,0,0
14705053,,,1,,,,,0,0,0,0
709304733,,,1,,,,,0,24,24,0
353239455,,,1,,,,,0,0,0,0
167985567,,,1,,,,,0,0,0,0
1368498204879114240,,,1,,,,,0,0,0,0
1223950760,,,1,,,,,0,63,63,0
123519401,,,1,,,,,0,0,0,0
395993515,,,1,,,,,0,0,0,0
1121623072815992833,,,1,,,,,0,0,0,0
2375303610,,,1,,,,,0,0,0,0
1236419006,,,1,,,,,0,0,0,0
93020616,,,1,,,,,0,0,0,0
36528586,,,1,,,,,0,0,0,0
290791883,,,1,,,,,0,0,0,0
1449681354,,,1,,,,,0,0,0,0
1645101518,,,1,,,,,0,0,0,0
1411424719,,,1,,,,,0,0,0,0
859029968,,,1,,,,,0,0,0,0
47817168,,,1,,,,,0,0,0,0
460661204,,,1,,,,,0,0,0,0
1020805591,,,1,,,,,0,0,0,0
956645852,,,1,,,,,0,0,0,0
487686623,,,1,,,,,0,0,0,0
421151200,,,1,,,,,0,0,0,0
17875426,,,1,,,,,0,0,0,0
1044272266513711104,,,1,,,,,0,0,0,0
427672039,,,1,,,,,0,0,0,0
1266878041868959744,,,1,,,,,0,0,0,0
850124612549705728,,,1,,,,,0,3,3,0
807029571195469824,,,1,,,,,0,0,0,0
34947566,,,1,,,,,0,0,0,0
