id,bloc_exp2_average_activation_time
4623339465,1.0
4834905915,1.0
4835935229,1.0
4874214045,1.0
4890417724,1.0
708387548859604992,2.0
708648466927509504,1.0
718235089562419201,1.0
730746963054997504,1.0
750460751240888324,2.0
754319153951944704,1.0
760492161884446720,1.0
765177124730929152,1.0
777974569822986241,1.0
787478328089468928,1.0
808010543298650112,1.0
817873908779073536,1.0
832055013467889664,1.0
838440724408516608,1.0
854088184191479809,1.0
857850670057050112,1.0
864457447062351873,1.0
873256308660719617,1.0
896874095106826240,1.0
896911058459340800,2.0
902627303913611268,1.0
912006790493212672,1.0
917184736501657600,1.0
922605476424048640,1.0
924390522600468485,1.0
939043270549577728,1.0
947989309239545857,1.0
956294047966081025,1.0
957087589382737920,1.0
969202095252561920,1.0
979048605087563782,1.0
982359026410209280,1.0
996200380013916160,1.0
1008987247616512000,1.0
1009785173011988480,2.0
1012178620209606656,1.0
1019968606459842565,2.0
1031479589959356416,2.0
1040405782402084864,1.0
1045428236392517632,1.0
1050930813888589825,2.0
1053324714427465728,1.0
1058174548837888000,1.0
1063494232126689280,0.0
1066847336050147329,2.0
1076825961688125441,1.0
1080742203633262592,1.0
1087828196966481921,1.0
1090055713462865925,2.0
1093655839783686144,1.0
1100840274136363009,1.0
1106253079983390721,1.0
1106771831837675521,1.0
1109136672917209091,2.0
1113612686783283200,1.0
1125543746697924609,1.0
1131206711296045058,1.0
1131717785648807937,1.0
1135278580689190912,1.0
1143229947932229632,0.0
1166065776438272004,1.0
1171742672614113282,1.0
1205921326139088899,1.0
1211653933875089408,1.0
1212150302788345857,1.0
1213189717425917953,1.0
1222668550080475136,2.0
1223647519491665924,1.0
1238214998838697984,1.0
1241360253960237057,1.0
1246982847287746560,1.0
1248917771733237760,1.0
1249029070886666240,1.0
1250176138867027970,2.0
1251518605600206850,1.0
1251658931849617408,2.0
1252621477674921985,1.0
1260145160253509632,1.0
1260614810355544065,1.0
1267928172160573445,1.0
1279885961841819649,2.0
1280337364993429504,1.0
1280657278409093121,1.0
1287451187860639744,1.0
1288862425861836801,1.0
1293035801778049029,2.0
1294756234374111236,1.0
1297264439662608384,1.0
1302031249360531456,1.0
1303032382052851713,1.0
1306303710931439617,1.0
1309334948847943681,1.0
1310206245631078400,2.0
1312209568047431680,1.0
1319082870498091008,1.0
1326481061296082945,1.0
1334216352740085761,2.0
1337859846385889283,1.0
1339327325578678272,1.0
1340659408532103171,2.0
1342125115383939073,0.0
1349200706037805057,1.0
1349608584896794624,1.0
1352699133379883008,1.0
1353424314943631360,1.0
1353619250838183938,1.0
1358706577356775429,1.0
1364969404132446218,1.0
1368517630735290370,1.0
1371405733418373122,1.0
1372147744559804420,2.0
1372521854632611843,1.0
1383459804962639884,1.0
1384365976922181637,1.0
1389705366871621632,1.0
1394725224885653505,2.0
1401765171601850373,1.0
1402679875631190017,1.0
1417147821472501764,1.0
1418298699399241737,2.0
1423390095562915849,2.0
1424698080150974465,1.0
1425531663178780681,1.0
1425866189780160514,0.0
1426123212220424193,1.0
1426540276856893441,1.0
1426651135582998531,1.0
1426965765744439300,1.0
1428915745933742082,1.0
1433606604218408963,1.0
1435677654699675654,1.0
1437734637531504644,1.0
1439047013690232832,1.0
1439240496921161733,1.0
1440532151582134272,1.0
1440664285210767367,1.0
1443664767013502976,1.0
