id,con_exp2_average_activation_time
1142263233438294016,1.0
1142940366678761478,2.0
1148643937441210369,1.0
1151612946830831616,1.0
1154227430535491584,1.0
1155088283916836864,1.0
1157250876051984385,1.0
1159411999706451968,1.0
1159560116657709056,1.0
1161071830247059456,1.0
1161444234609565696,1.0
1163919250278371328,2.0
1164159672082763777,1.0
1164786873429970944,1.0
1165622056089612289,1.0
1165843165225484288,1.0
1166056317657604096,1.0
1167062654436937731,1.0
1167358020508147712,1.0
1167568401927147520,1.0
1167622160220733440,1.0
1167760915707527168,1.0
1167997092163227651,1.0
1168009774086131713,2.0
1169174808887623680,1.0
1169244348648587264,1.0
1169267399230550017,1.0
1169270397470048258,1.0
1169271231926767627,1.0
1169274023777169408,1.0
1169307285006348288,1.0
1169410448594071552,1.0
1169500847488659456,1.0
1171742672614113282,1.0
1172014145274671104,1.0
1172345379125260288,1.0
1172700557426876416,1.0
1173596152266018816,1.0
1174668703469719553,1.0
1175288710180421632,1.0
1175447873325953029,1.0
1175642770024697856,1.0
1176151245469487105,1.0
1176343584187940864,1.0
1176525567895769088,2.0
1176685970340532224,1.0
1176867008077582337,1.0
1177467015583301633,1.0
1178019071821877250,1.0
1178287557357883392,1.0
1178561952626274305,1.0
1178575157364850689,1.0
1178739479160348677,1.0
1179456300591173632,1.0
1179928124613484544,1.0
1180669622095372289,1.0
1180868127359291392,1.0
1181269652871270400,1.0
1181567074084122624,1.0
1181632680892362752,1.0
1182292603040960512,1.0
1183161327033954304,2.0
1184000832506753024,1.0
1184610187442823169,1.0
1184752030801203200,1.0
1185285260348678144,1.0
1185949888787308544,1.0
1187118198795259905,1.0
1188438369182707712,1.0
1189752232335462400,1.0
1189873607771611136,1.0
1190293452820320256,1.0
1194626706956439558,1.0
1199923131730792449,1.0
1200093889790717952,2.0
1201545155360116737,1.0
1205769293939515392,2.0
1209477090652803073,1.0
1214156187509252104,1.0
1215019668571860999,1.0
1216731501728952320,1.0
1217425422696288256,1.0
1217831815219699712,1.0
1218009078959607810,1.0
1218282094213967875,1.0
1224139531177185281,1.0
1224720670745157633,1.0
1225286358635352064,1.0
1225480089380347904,2.0
1226687437281406979,1.0
1227302519061135360,1.0
1229230225549971456,1.0
1231044484261019648,1.0
1231658802119761920,1.0
1231693228937752578,1.0
1232176513887305728,1.0
1233856446900600832,1.0
1235721448066408448,1.0
1238160283333525504,1.0
1239205382444085248,1.0
1239635457656356865,1.0
1239638979214966786,1.0
1241397628924915713,1.0
1242110720507932672,1.0
1242131169304621057,2.0
1245566530332450816,1.0
1249391634527199233,1.0
1250570398971953152,1.0
1251566644188475392,1.0
1253484460928098304,1.0
1254864716733833216,1.0
1256646787726745600,1.0
1257769442278289408,1.0
1258501542933483520,1.0
1259130000969588737,1.0
1262580922479570944,1.0
1263488873054625792,1.0
1263856408199602176,1.0
1268141213112324096,1.0
1268686766439006215,1.0
1269643480537509888,1.0
1270789336116670467,1.0
1273476574495469569,1.0
1275556749555240960,1.0
1275867029573111813,1.0
1277704050969063425,1.0
1278437200145907712,1.0
1278516624199311362,1.0
1278662030325510144,1.0
1278712277345034240,1.0
1278776092355108868,1.0
1279885961841819649,1.0
1282047448010166272,1.0
1282959763911909376,1.0
1283961213471338496,1.0
1285762150741323776,1.0
1286368171650408449,1.0
1286688760025948160,1.0
1286836203938025472,1.0
1289381869201641473,1.0
1290390627218108416,1.0
1290861566758277120,1.0
1291069648574832640,1.0
1291592284417351680,1.0
1293197752919183360,1.0
1293272027122610179,1.0
1294012499013054466,1.0
1294307575085715456,1.0
1294697611539161088,1.0
1295516603430273024,2.0
1297181907160109057,1.0
1298334315185500161,1.0
1299403161564741633,1.0
1301200782717587458,1.0
1301539941948764160,1.0
1303140940102512640,1.0
1303704709123969024,1.0
1304598424705212418,2.0
1304621913231286272,1.0
1305987513669029891,1.0
1306274561135181824,1.0
1308400921496387593,1.0
1308909374144942080,1.0
1309199463190274049,1.0
1314666986878595072,2.0
1316525236087554051,1.0
1317212216354082816,1.0
1319082870498091008,1.0
1321948290661838848,1.0
1324786872913113090,1.0
1325818722259505152,2.0
1326303320177324035,1.0
1327727543496171520,1.0
1329460132967821314,1.0
1330571074061393923,1.0
1330919892988686338,1.0
1331370908989140992,1.0
1332444101258719236,1.0
1332478258831495169,1.0
1335433670019059712,2.0
1337184287032930310,1.0
1339359361353846784,1.0
1339579267965997057,1.0
1339815329195704322,1.0
1340703531012075533,1.0
1342413157214523392,2.0
1343247090298859522,1.0
1349358194796195840,1.0
1350014733135572993,1.0
1350630948354871298,2.0
1352995635566407680,1.0
1353105998102241280,1.0
1354056541780004864,1.0
1354134859053232128,1.0
1355517412196552711,1.0
1356746588828311554,1.0
1357838111204642818,1.0
1358930019960111104,1.0
1360345646826483717,1.0
1361804785003954183,1.0
1366233564254265345,1.0
1367128056972779522,1.0
1368535075969712133,1.0
1368781872130445313,2.0
1372683277979459587,1.0
1373262840098918402,1.0
1375146737279582208,1.0
1376678992736964611,1.0
1378797390275182600,2.0
1379156396323840001,1.0
1379806189840662531,2.0
1379906748841136130,1.0
1382092362462154753,1.0
1383574236288094214,1.0
1384140731770544131,1.0
1384165113205198860,2.0
1384365976922181637,1.0
1384919856768856064,1.0
1386817530308747264,1.0
1391714455390670851,1.0
1392453820702154754,1.0
1392927838001459201,1.0
1392960794980126720,1.0
1397268212522291211,1.0
1398664818874208261,1.0
1403260119715090432,1.0
1405392336801124352,1.0
1405750979732021253,1.0
1406413723691110405,1.0
1406836405712588802,1.0
1408148208442908673,2.0
1411312771728171011,2.0
1411387510282985473,2.0
1414050885999595522,1.0
1414394706855931905,1.0
1415746394871189504,2.0
1421263144274567172,2.0
1422740806016843776,1.0
1424051485961228295,1.0
1425939253456949252,1.0
1427015461351342080,1.0
1427113908217815041,1.0
1429498190718545923,1.0
1429502438520901633,2.0
1430338907779084288,1.0
1430883215439540230,1.0
1431289619656630272,2.0
1431354715057623041,1.0
1432466218074714113,1.0
1432545138119675905,2.0
1432744162529615875,2.0
1433867054168387590,1.0
1434304146035912704,1.0
1434546559685849088,1.0
1434567543948300290,2.0
1434884225036021762,1.0
1436448639077912576,1.0
1437115306716143616,1.0
1437350036388466695,1.0
1437745884159102988,1.0
1438136202645884928,1.0
1438670371427917832,1.0
1438926139427274756,1.0
1440509126216347656,2.0
1441020558691475456,1.0
1442850635200843792,1.0
1443218100824985600,1.0
1445882748585930752,1.0
1446352422272528385,2.0
