Target,Source,Weight
109144163,77283552,"{""weight"":4}"
109144163,38055290,"{""weight"":2}"
109144163,34506336,"{""weight"":1}"
109144163,242798024,"{""weight"":1}"
109144163,138077463,"{""weight"":3}"
175259033,138077463,"{""weight"":8}"
121343164,138077463,"{""weight"":1}"
814078628,138077463,"{""weight"":2}"
215632349,138077463,"{""weight"":10}"
17823761,138077463,"{""weight"":2}"
196717787,138077463,"{""weight"":5}"
109144163,18519855,"{""weight"":2}"
109144163,268824309,"{""weight"":3}"
109144163,2439928526,"{""weight"":1}"
14079041,2439928526,"{""weight"":1}"
109144163,1169378542737661954,"{""weight"":2}"
109144163,299228245,"{""weight"":3}"
109144163,2369365718,"{""weight"":1}"
109144163,1373493122,"{""weight"":1}"
109144163,2834753506,"{""weight"":2}"
1086084557009575936,2834753506,"{""weight"":1}"
109144163,999476893970763777,"{""weight"":1}"
109144163,120320139,"{""weight"":4}"
109144163,84734389,"{""weight"":1}"
215632349,84734389,"{""weight"":1}"
109144163,15407637,"{""weight"":1}"
1899063048,15407637,"{""weight"":1}"
109144163,1301967293849755653,"{""weight"":1}"
109144163,324602007,"{""weight"":1}"
109144163,292667439,"{""weight"":1}"
17823761,292667439,"{""weight"":1}"
109144163,522345885,"{""weight"":1}"
109144163,12599562,"{""weight"":1}"
109144163,4856851754,"{""weight"":1}"
109144163,1248842158553141250,"{""weight"":1}"
4026045455,1248842158553141250,"{""weight"":1}"
109144163,3303438653,"{""weight"":1}"
109144163,1129203001,"{""weight"":1}"
109144163,2813664079,"{""weight"":1}"
109144163,14518712,"{""weight"":1}"
109144163,95209129,"{""weight"":2}"
109144163,119797208,"{""weight"":1}"
109144163,201984482,"{""weight"":1}"
593944500,201984482,"{""weight"":1}"
3409346380,17105128,"{""weight"":3}"
3409346380,33826892,"{""weight"":1}"
3409346380,273866823,"{""weight"":10}"
3409346380,37552089,"{""weight"":1}"
21951711,37552089,"{""weight"":2}"
47452040,37552089,"{""weight"":5}"
377588094,37552089,"{""weight"":1}"
175259033,37552089,"{""weight"":14}"
121343164,37552089,"{""weight"":1}"
814078628,37552089,"{""weight"":8}"
266855812,37552089,"{""weight"":2}"
341866567,37552089,"{""weight"":5}"
215632349,37552089,"{""weight"":33}"
17823761,37552089,"{""weight"":4}"
60916234,37552089,"{""weight"":3}"
196717787,37552089,"{""weight"":12}"
3409346380,262436837,"{""weight"":1}"
3409346380,1092244447184719873,"{""weight"":1}"
3409346380,2548489298,"{""weight"":4}"
218952640,2548489298,"{""weight"":1}"
1382491059247255554,2548489298,"{""weight"":1}"
3409346380,516915897,"{""weight"":1}"
3409346380,965028316460797953,"{""weight"":1}"
3409346380,195899568,"{""weight"":1}"
3409346380,2432750568,"{""weight"":1}"
3409346380,331067472,"{""weight"":1}"
3409346380,272133230,"{""weight"":1}"
108413104,272133230,"{""weight"":1}"
177347829,272133230,"{""weight"":2}"
14079041,272133230,"{""weight"":1}"
24913022,272133230,"{""weight"":1}"
3409346380,964446120402300928,"{""weight"":1}"
3409346380,1573418346,"{""weight"":1}"
3409346380,89496127,"{""weight"":2}"
3409346380,735508941258399744,"{""weight"":2}"
3409346380,542244178,"{""weight"":2}"
3409346380,1005899772916477952,"{""weight"":1}"
29545977,366171300,"{""weight"":1}"
16220555,366171300,"{""weight"":1}"
59686058,29545977,"{""weight"":1}"
29545977,965478102594863104,"{""weight"":2}"
59686058,965478102594863104,"{""weight"":2}"
14079041,965478102594863104,"{""weight"":4}"
366225624,965478102594863104,"{""weight"":1}"
29545977,393713239,"{""weight"":1}"
29545977,1185972487538040832,"{""weight"":1}"
29545977,889661863100907520,"{""weight"":1}"
29545977,2813399220,"{""weight"":1}"
29545977,2436061363,"{""weight"":1}"
59686058,17900758,"{""weight"":1}"
23491400,17900758,"{""weight"":1}"
382949896,17900758,"{""weight"":1}"
59686058,1009115210546929664,"{""weight"":1}"
59686058,3148281878,"{""weight"":1}"
59686058,1064964294448750595,"{""weight"":1}"
366225624,1064964294448750595,"{""weight"":1}"
16220555,1064964294448750595,"{""weight"":1}"
59686058,814289414,"{""weight"":1}"
59686058,2896012540,"{""weight"":1}"
59686058,1280589273335500801,"{""weight"":1}"
14079041,1280589273335500801,"{""weight"":1}"
59686058,1227766472921014272,"{""weight"":1}"
366225624,1227766472921014272,"{""weight"":1}"
59686058,869639001400942592,"{""weight"":1}"
150270263,116679707,"{""weight"":2}"
150270263,342176065,"{""weight"":2}"
150270263,1890389540,"{""weight"":1}"
150270263,2785990732,"{""weight"":2}"
150270263,40591485,"{""weight"":1}"
150270263,3191905064,"{""weight"":1}"
25813888,3191905064,"{""weight"":1}"
150270263,237536271,"{""weight"":1}"
150270263,16982577,"{""weight"":1}"
150270263,1563418116,"{""weight"":1}"
150270263,2580573206,"{""weight"":1}"
150270263,275979196,"{""weight"":3}"
150270263,193471925,"{""weight"":1}"
150270263,53772503,"{""weight"":1}"
150270263,16195103,"{""weight"":3}"
158458133,16195103,"{""weight"":1}"
150270263,2776775090,"{""weight"":1}"
150270263,998590102573023232,"{""weight"":1}"
150270263,179129165,"{""weight"":1}"
150270263,27101995,"{""weight"":1}"
150270263,872156101,"{""weight"":2}"
150270263,128908662,"{""weight"":1}"
150270263,363070453,"{""weight"":1}"
211564038,363070453,"{""weight"":1}"
25813888,363070453,"{""weight"":1}"
189349553,363070453,"{""weight"":1}"
25127782,363070453,"{""weight"":1}"
1166717268975333376,363070453,"{""weight"":1}"
20199202,363070453,"{""weight"":1}"
40550119,363070453,"{""weight"":2}"
417389780,363070453,"{""weight"":1}"
61521038,363070453,"{""weight"":2}"
85428184,363070453,"{""weight"":1}"
58319221,363070453,"{""weight"":1}"
52080359,363070453,"{""weight"":1}"
4026045455,363070453,"{""weight"":1}"
2513973205,363070453,"{""weight"":2}"
283226685,363070453,"{""weight"":1}"
45848808,363070453,"{""weight"":1}"
1646334073,363070453,"{""weight"":1}"
1360838234,363070453,"{""weight"":1}"
17823761,363070453,"{""weight"":1}"
150270263,21221149,"{""weight"":1}"
150270263,507802048,"{""weight"":1}"
150270263,190231473,"{""weight"":1}"
150270263,993705834470367232,"{""weight"":1}"
24913022,993705834470367232,"{""weight"":1}"
20199202,993705834470367232,"{""weight"":1}"
360677740,993705834470367232,"{""weight"":1}"
150270263,1362286033,"{""weight"":1}"
150270263,3079986094,"{""weight"":1}"
268528986,3079986094,"{""weight"":1}"
321752222,3079986094,"{""weight"":1}"
150270263,17280115,"{""weight"":1}"
150270263,274220538,"{""weight"":1}"
211564038,274220538,"{""weight"":1}"
25813888,274220538,"{""weight"":4}"
2352629420,274220538,"{""weight"":1}"
150270263,25813888,"{""weight"":1}"
108413104,51184630,"{""weight"":15}"
14079041,51184630,"{""weight"":1}"
108413104,908811901,"{""weight"":37}"
108413104,408526152,"{""weight"":37}"
108413104,371447080,"{""weight"":1}"
108413104,2314531026,"{""weight"":1}"
108413104,1172199939243425792,"{""weight"":1}"
108413104,390392773,"{""weight"":1}"
108413104,2289973748,"{""weight"":1}"
108413104,495066576,"{""weight"":1}"
277332906,495066576,"{""weight"":1}"
20199202,495066576,"{""weight"":2}"
283226685,495066576,"{""weight"":1}"
1360838234,495066576,"{""weight"":1}"
108413104,1545053600,"{""weight"":1}"
47452040,1545053600,"{""weight"":1}"
366225624,1545053600,"{""weight"":2}"
1318671397560979456,1545053600,"{""weight"":1}"
20199202,1545053600,"{""weight"":4}"
40550119,1545053600,"{""weight"":1}"
61521038,1545053600,"{""weight"":1}"
2891740872,1545053600,"{""weight"":1}"
4026045455,1545053600,"{""weight"":1}"
2848993491,1545053600,"{""weight"":3}"
1707636642,1545053600,"{""weight"":1}"
108413104,103297393,"{""weight"":1}"
1162219997977960449,103297393,"{""weight"":1}"
108413104,1851634098,"{""weight"":1}"
108413104,398483708,"{""weight"":1}"
24913022,398483708,"{""weight"":4}"
79260190,1313212802799206406,"{""weight"":1}"
79260190,27652488,"{""weight"":1}"
79260190,89609585,"{""weight"":1}"
79260190,44618408,"{""weight"":1}"
79260190,880491635896922112,"{""weight"":1}"
47452040,880491635896922112,"{""weight"":1}"
79260190,2761710808,"{""weight"":1}"
247412217,1240867313445830656,"{""weight"":1}"
247412217,1347654502787076096,"{""weight"":1}"
21951711,1347654502787076096,"{""weight"":2}"
215632349,1347654502787076096,"{""weight"":2}"
247412217,982630470008553474,"{""weight"":1}"
215632349,982630470008553474,"{""weight"":1}"
17823761,982630470008553474,"{""weight"":1}"
247412217,82167100,"{""weight"":1}"
247412217,110754237,"{""weight"":1}"
177347829,768069259100622848,"{""weight"":13}"
177347829,1304210384367349770,"{""weight"":1}"
177347829,1300291239581892609,"{""weight"":1}"
177347829,2253903906,"{""weight"":1}"
177347829,78403337,"{""weight"":2}"
177347829,862703683,"{""weight"":1}"
177347829,1071951545212723200,"{""weight"":7}"
177347829,840470152391016448,"{""weight"":1}"
177347829,498423001,"{""weight"":1}"
177347829,1197522605760303104,"{""weight"":4}"
177347829,510093784,"{""weight"":2}"
177347829,447415943,"{""weight"":1}"
177347829,1201788959719936007,"{""weight"":2}"
177347829,1633538270,"{""weight"":1}"
177347829,122525211,"{""weight"":2}"
177347829,192842634,"{""weight"":1}"
177347829,551152504,"{""weight"":7}"
177347829,378351271,"{""weight"":8}"
177347829,57033548,"{""weight"":1}"
177347829,255067647,"{""weight"":2}"
35863342,255067647,"{""weight"":1}"
2715275551,255067647,"{""weight"":4}"
377588094,255067647,"{""weight"":1}"
341866567,255067647,"{""weight"":2}"
215632349,255067647,"{""weight"":3}"
196717787,255067647,"{""weight"":4}"
177347829,719557076599619584,"{""weight"":4}"
177347829,980875592,"{""weight"":10}"
177347829,1051100859831148544,"{""weight"":1}"
177347829,2300474413,"{""weight"":2}"
177347829,1238447220,"{""weight"":1}"
177347829,994295935,"{""weight"":1}"
177347829,838098877,"{""weight"":2}"
177347829,829761553218072576,"{""weight"":2}"
177347829,951280545421410305,"{""weight"":6}"
177347829,1157684886,"{""weight"":2}"
177347829,80970676,"{""weight"":1}"
177347829,18923250,"{""weight"":1}"
177347829,1136294664,"{""weight"":1}"
177347829,951892305098788864,"{""weight"":2}"
177347829,3010143902,"{""weight"":1}"
177347829,297020666,"{""weight"":1}"
475298690,297020666,"{""weight"":1}"
175259033,297020666,"{""weight"":1}"
341866567,297020666,"{""weight"":1}"
215632349,297020666,"{""weight"":4}"
177347829,1045793762063060992,"{""weight"":1}"
177347829,98588419,"{""weight"":2}"
177347829,76179144,"{""weight"":1}"
177347829,46956207,"{""weight"":2}"
177347829,819853925184638976,"{""weight"":1}"
177347829,16552108,"{""weight"":1}"
29754743,16552108,"{""weight"":1}"
177347829,153515520,"{""weight"":2}"
177347829,386330680,"{""weight"":1}"
177347829,2736446758,"{""weight"":3}"
177347829,35095520,"{""weight"":1}"
177347829,1239564608941113347,"{""weight"":3}"
14079041,1239564608941113347,"{""weight"":1}"
175259033,1239564608941113347,"{""weight"":3}"
177347829,58261480,"{""weight"":1}"
177347829,169614697,"{""weight"":1}"
177347829,1005522675761057792,"{""weight"":1}"
177347829,816308397360508928,"{""weight"":3}"
177347829,1407160205117435908,"{""weight"":3}"
177347829,1175457080561537025,"{""weight"":3}"
177347829,1011936943247101952,"{""weight"":3}"
177347829,365078935,"{""weight"":1}"
177347829,17540009,"{""weight"":1}"
177347829,49660950,"{""weight"":1}"
14079041,49660950,"{""weight"":1}"
215632349,49660950,"{""weight"":1}"
177347829,296549487,"{""weight"":1}"
177347829,1228605451,"{""weight"":1}"
177347829,1122706063466356737,"{""weight"":1}"
177347829,234593598,"{""weight"":1}"
177347829,1204301854433316866,"{""weight"":1}"
177347829,1204430581410353154,"{""weight"":1}"
177347829,893202244077854721,"{""weight"":1}"
177347829,22971125,"{""weight"":1}"
177347829,1193458951976869888,"{""weight"":1}"
177347829,785853390,"{""weight"":1}"
177347829,322106815,"{""weight"":1}"
177347829,1957597519,"{""weight"":3}"
177347829,1101092779378249729,"{""weight"":1}"
177347829,3331826578,"{""weight"":1}"
177347829,38720614,"{""weight"":1}"
177347829,2912843536,"{""weight"":1}"
177347829,183642459,"{""weight"":1}"
177347829,2247495353,"{""weight"":1}"
177347829,2748289416,"{""weight"":1}"
177347829,2592210108,"{""weight"":2}"
177347829,103701079,"{""weight"":1}"
177347829,1352713370772770816,"{""weight"":1}"
266855812,1352713370772770816,"{""weight"":1}"
177347829,86410896,"{""weight"":1}"
177347829,1038301598,"{""weight"":1}"
21951711,1038301598,"{""weight"":1}"
177347829,1134248217472843787,"{""weight"":2}"
177347829,999320625117196288,"{""weight"":1}"
177347829,18390213,"{""weight"":1}"
23491400,18390213,"{""weight"":1}"
21951711,18390213,"{""weight"":2}"
277332906,18390213,"{""weight"":1}"
177347829,768295011007934469,"{""weight"":1}"
25127782,768295011007934469,"{""weight"":1}"
1166717268975333376,768295011007934469,"{""weight"":1}"
20199202,768295011007934469,"{""weight"":2}"
177347829,1262878353431777280,"{""weight"":1}"
177347829,729232479840800768,"{""weight"":3}"
177347829,1415442622135603206,"{""weight"":1}"
177347829,346123223,"{""weight"":3}"
177347829,167912183,"{""weight"":2}"
177347829,1076249609125675010,"{""weight"":1}"
177347829,67793897,"{""weight"":1}"
177347829,823096488,"{""weight"":2}"
177347829,50154666,"{""weight"":1}"
177347829,302593437,"{""weight"":1}"
14079041,302593437,"{""weight"":1}"
215632349,302593437,"{""weight"":1}"
177347829,291862583,"{""weight"":1}"
177347829,168371680,"{""weight"":1}"
177347829,1251332171211644931,"{""weight"":4}"
177347829,962073414,"{""weight"":1}"
177347829,291523600,"{""weight"":1}"
177347829,277085673,"{""weight"":3}"
177347829,62664213,"{""weight"":1}"
177347829,1337551744457469952,"{""weight"":1}"
177347829,716460064039575552,"{""weight"":1}"
177347829,3007815702,"{""weight"":1}"
177347829,55819705,"{""weight"":1}"
177347829,1404102585317986308,"{""weight"":1}"
177347829,1280249212567818240,"{""weight"":1}"
177347829,740981264740679681,"{""weight"":1}"
177347829,247511435,"{""weight"":1}"
177347829,1303772129847111681,"{""weight"":1}"
177347829,1027307702047961088,"{""weight"":1}"
177347829,1020156666204090368,"{""weight"":1}"
177347829,38751529,"{""weight"":1}"
177347829,718873385346797569,"{""weight"":1}"
177347829,285806588,"{""weight"":1}"
177347829,541129316,"{""weight"":1}"
177347829,1655457050,"{""weight"":1}"
177347829,57759275,"{""weight"":1}"
177347829,824281652423753728,"{""weight"":1}"
177347829,132015712,"{""weight"":1}"
177347829,40647043,"{""weight"":1}"
177347829,12992772,"{""weight"":1}"
177347829,365132365,"{""weight"":1}"
177347829,1129088815,"{""weight"":1}"
177347829,1262268501823303680,"{""weight"":1}"
177347829,288548798,"{""weight"":1}"
40246161,87632735,"{""weight"":1}"
40246161,1252686295,"{""weight"":1}"
40246161,25333228,"{""weight"":1}"
40246161,1093876945,"{""weight"":1}"
205786669,1093876945,"{""weight"":1}"
40246161,1942350667,"{""weight"":1}"
40246161,2863551224,"{""weight"":1}"
720083863830069249,2863551224,"{""weight"":1}"
176207343,2863551224,"{""weight"":1}"
412708728,2863551224,"{""weight"":1}"
414218319,2863551224,"{""weight"":1}"
40246161,1271987860577517568,"{""weight"":1}"
40246161,626984632,"{""weight"":1}"
40246161,237594523,"{""weight"":1}"
714340176,237594523,"{""weight"":5}"
40246161,300638343,"{""weight"":1}"
40246161,739845530612830208,"{""weight"":1}"
40246161,715244769,"{""weight"":2}"
40246161,817207955930001409,"{""weight"":1}"
40246161,1363561650624733184,"{""weight"":2}"
40246161,212468225,"{""weight"":1}"
40246161,2673432539,"{""weight"":1}"
45848808,2673432539,"{""weight"":1}"
40246161,23601374,"{""weight"":1}"
40246161,51852542,"{""weight"":1}"
40246161,321482430,"{""weight"":1}"
40246161,1058965681671028736,"{""weight"":1}"
40246161,35617919,"{""weight"":1}"
40246161,371288369,"{""weight"":1}"
40246161,4492249646,"{""weight"":1}"
40246161,396106258,"{""weight"":1}"
40246161,2287331581,"{""weight"":1}"
40246161,150671052,"{""weight"":1}"
40246161,3302256527,"{""weight"":1}"
40246161,3269322830,"{""weight"":1}"
40246161,1364751078659477504,"{""weight"":1}"
40246161,168123931,"{""weight"":1}"
45976740,1072189285,"{""weight"":1}"
45976740,1435257575482740741,"{""weight"":1}"
45976740,1099109729308008448,"{""weight"":1}"
45976740,1366925295291424768,"{""weight"":1}"
45976740,1356073687691141121,"{""weight"":1}"
45976740,1580475270,"{""weight"":1}"
45976740,1442893993935716361,"{""weight"":2}"
45976740,392132054,"{""weight"":1}"
45976740,207703739,"{""weight"":1}"
45976740,1419489038747070467,"{""weight"":1}"
45976740,928451444633563136,"{""weight"":2}"
45976740,1119464753318043649,"{""weight"":1}"
45976740,1440690378533838857,"{""weight"":3}"
45976740,2931943245,"{""weight"":1}"
45976740,1727398412,"{""weight"":1}"
45976740,1444061901172854786,"{""weight"":1}"
45976740,2938869339,"{""weight"":1}"
45976740,1243723946660421637,"{""weight"":1}"
45976740,2476755039,"{""weight"":1}"
45976740,1331773252792770560,"{""weight"":1}"
45976740,901618905076174848,"{""weight"":2}"
45976740,339780511,"{""weight"":2}"
45976740,980817985668550656,"{""weight"":1}"
45976740,53694666,"{""weight"":1}"
45976740,1445437990940004352,"{""weight"":1}"
45976740,1243574020802367488,"{""weight"":1}"
45976740,1055536236,"{""weight"":6}"
321752222,1055536236,"{""weight"":1}"
45976740,68670486,"{""weight"":2}"
45976740,451989089,"{""weight"":2}"
45976740,1077731978,"{""weight"":1}"
45976740,1271115442573185024,"{""weight"":1}"
45976740,969744550955749383,"{""weight"":1}"
45976740,26577630,"{""weight"":2}"
45976740,1391981080945643523,"{""weight"":3}"
45976740,46232947,"{""weight"":1}"
266048357,46232947,"{""weight"":1}"
45976740,293745266,"{""weight"":1}"
45976740,415532452,"{""weight"":8}"
45976740,3107597132,"{""weight"":1}"
45976740,1183316407104266241,"{""weight"":4}"
45976740,982472677775454209,"{""weight"":1}"
45976740,3295839203,"{""weight"":1}"
45976740,880913594531139584,"{""weight"":1}"
45976740,1911858061,"{""weight"":3}"
45976740,1097694473952342022,"{""weight"":1}"
45976740,1388650232100134915,"{""weight"":3}"
45976740,14100537,"{""weight"":4}"
45976740,820656479812227073,"{""weight"":1}"
45976740,1325249450793701376,"{""weight"":1}"
45976740,1427996716138127360,"{""weight"":1}"
45976740,1347691972358778885,"{""weight"":1}"
45976740,1365678726,"{""weight"":1}"
47452040,1365678726,"{""weight"":2}"
45976740,1295377965438644235,"{""weight"":1}"
45976740,322090834,"{""weight"":1}"
45976740,1342962255248424961,"{""weight"":2}"
45976740,1195026680609292288,"{""weight"":1}"
45976740,1116360718687690758,"{""weight"":1}"
737359208945844224,1116360718687690758,"{""weight"":3}"
3375064758,1116360718687690758,"{""weight"":1}"
720083863830069249,1116360718687690758,"{""weight"":4}"
14538949,1116360718687690758,"{""weight"":2}"
1084856644687679496,1116360718687690758,"{""weight"":1}"
1086084557009575936,1116360718687690758,"{""weight"":5}"
36133644,1116360718687690758,"{""weight"":1}"
266855812,1116360718687690758,"{""weight"":1}"
45976740,976345683681619968,"{""weight"":1}"
45976740,366785595,"{""weight"":1}"
45976740,2849064914,"{""weight"":1}"
343059330,2849064914,"{""weight"":1}"
45976740,64123717,"{""weight"":1}"
45976740,18420573,"{""weight"":2}"
45976740,957106791753555968,"{""weight"":1}"
45976740,751054068974575616,"{""weight"":1}"
45976740,1186136760981454854,"{""weight"":1}"
45976740,854065048683204615,"{""weight"":1}"
45976740,317823907,"{""weight"":1}"
45976740,952759886,"{""weight"":3}"
45976740,474883984,"{""weight"":1}"
45976740,1258133514421239813,"{""weight"":5}"
45976740,2198792101,"{""weight"":1}"
324555383,2198792101,"{""weight"":1}"
45976740,744660163873771520,"{""weight"":1}"
45976740,726025903,"{""weight"":1}"
45976740,1263514760584167424,"{""weight"":1}"
