Id,Label,timeset,communityid,twittername,first name,last name,political affiliation,indegree,outdegree,degree,eigencentrality,community,polygon
286499066,,,1,,,,,0,5,5,0,Liberal,1
278831356,,,1,,,,,0,0,0,0,Liberal,1
433586429,,,1,,,,,0,0,0,0,Liberal,1
703676670,,,1,,,,,0,0,0,0,Liberal,1
933877959420551168,,,1,,,,,0,0,0,0,Liberal,1
899886426312941568,,,1,,,,,0,0,0,0,Liberal,1
879506869529616384,,,1,,,,,0,2,2,0,Liberal,1
53313796,,,1,,,,,0,0,0,0,Liberal,1
721172734038777856,,,1,,,,,0,0,0,0,Liberal,1
636649732,,,1,,,,,0,3,3,0,Liberal,1
860391395428671489,,,1,,,,,0,0,0,0,Liberal,1
785471772904660993,,,1,,,,,0,0,0,0,Liberal,1
914701376906600449,,,1,,,,,0,0,0,0,Liberal,1
3242606862,,,1,MMcLeodNWT,Michael,McLeod,Liberal,13,1,14,0.040971,Liberal,6
388292881,,,1,,,,,0,0,0,0,Liberal,1
158458133,,,1,AndyFillmoreHFX,Andy,Fillmore,Liberal,38,0,38,0.119761,Liberal,6
1126937736122982401,,,1,,,,,0,0,0,0,Liberal,1
314032410,,,1,,,,,0,0,0,0,Liberal,1
126075164,,,1,,,,,0,0,0,0,Liberal,1
1173487902,,,1,,,,,0,0,0,0,Liberal,1
35709217,,,1,,,,,0,0,0,0,Liberal,1
319717668,,,1,,,,,0,0,0,0,Liberal,1
2458706217,,,1,,,,,0,0,0,0,Liberal,1
3434791216,,,1,,,,,0,2,2,0,Liberal,1
2842108210,,,1,,,,,0,0,0,0,Liberal,1
66371891,,,1,,,,,0,0,0,0,Liberal,1
1935335732,,,1,,,,,0,0,0,0,Liberal,1
866967099415113728,,,1,,,,,0,5,5,0,Liberal,1
910601686573559808,,,1,,,,,0,0,0,0,Liberal,1
47956279,,,1,,,,,0,0,0,0,Liberal,1
1078044289454747648,,,1,,,,,0,2,2,0,Liberal,1
886811694353264640,,,1,,,,,0,0,0,0,Liberal,1
292053307,,,1,,,,,0,3,3,0,Liberal,1
1439990076,,,1,,,,,0,0,0,0,Liberal,1
188637506,,,1,,,,,0,0,0,0,Liberal,1
108912964,,,1,,,,,0,2,2,0,Liberal,1
161562952,,,1,,,,,0,0,0,0,Liberal,1
1024105935680221185,,,1,,,,,0,0,0,0,Liberal,1
1051169034539020289,,,1,,,,,0,0,0,0,Liberal,1
900730131660058625,,,1,,,,,0,0,0,0,Liberal,1
2555150671,,,1,,,,,0,2,2,0,Liberal,1
1161773396,,,1,,,,,0,2,2,0,Liberal,1
156025186,,,1,,,,,0,0,0,0,Liberal,1
1354514791,,,1,,,,,0,0,0,0,Liberal,1
2516656489,,,1,,,,,0,0,0,0,Liberal,1
360677740,,,1,lisahepfner2021,Lisa,Hepfner,Liberal,50,1,51,0.15758,Liberal,6
2328551789,,,1,,,,,0,0,0,0,Liberal,1
60637549,,,1,,,,,0,0,0,0,Liberal,1
1224753522,,,1,,,,,0,3,3,0,Liberal,1
89309555,,,1,,,,,0,4,4,0,Liberal,1
1490829685,,,1,,,,,0,0,0,0,Liberal,1
58319221,,,1,iamIqraKhalid,Iqra,Khalid,Liberal,22,0,22,0.069335,Liberal,6
964952442,,,1,,,,,0,4,4,0,Liberal,1
2246861179,,,1,,,,,0,0,0,0,Liberal,1
838963324113006592,,,1,,,,,0,2,2,0,Liberal,1
1319308147165638656,,,1,,,,,0,2,2,0,Liberal,1
744595917790130176,,,1,,,,,0,0,0,0,Liberal,1
38584709,,,1,,,,,0,2,2,0,Liberal,1
1346618752134164481,,,1,,,,,0,1,1,0,Liberal,1
96027015,,,1,,,,,0,0,0,0,Liberal,1
3142877576,,,1,,,,,0,0,0,0,Liberal,1
1337978463446249473,,,1,,,,,0,0,0,0,Liberal,1
4230168979,,,1,,,,,0,0,0,0,Liberal,1
631988630,,,1,MonaFortier,Mona,Fortier,Liberal,49,0,49,0.210724,Liberal,6
30237079,,,1,,,,,0,0,0,0,Liberal,1
1348410322667843589,,,1,,,,,0,0,0,0,Liberal,1
1235284286468542464,,,1,,,,,0,0,0,0,Liberal,1
946856348,,,1,,,,,0,0,0,0,Liberal,1
14705053,,,1,,,,,0,0,0,0,Liberal,1
709304733,,,1,,,,,0,24,24,0,Liberal,1
353239455,,,1,,,,,0,0,0,0,Liberal,1
167985567,,,1,,,,,0,0,0,0,Liberal,1
1368498204879114240,,,1,,,,,0,0,0,0,Liberal,1
1223950760,,,1,,,,,0,63,63,0,Liberal,1
123519401,,,1,,,,,0,0,0,0,Liberal,1
395993515,,,1,,,,,0,0,0,0,Liberal,1
1121623072815992833,,,1,,,,,0,0,0,0,Liberal,1
2375303610,,,1,,,,,0,0,0,0,Liberal,1
1236419006,,,1,,,,,0,0,0,0,Liberal,1
93020616,,,1,,,,,0,0,0,0,Liberal,1
36528586,,,1,,,,,0,0,0,0,Liberal,1
290791883,,,1,,,,,0,0,0,0,Liberal,1
1449681354,,,1,,,,,0,0,0,0,Liberal,1
1645101518,,,1,,,,,0,0,0,0,Liberal,1
1411424719,,,1,,,,,0,0,0,0,Liberal,1
859029968,,,1,,,,,0,0,0,0,Liberal,1
47817168,,,1,,,,,0,0,0,0,Liberal,1
460661204,,,1,,,,,0,0,0,0,Liberal,1
1020805591,,,1,,,,,0,0,0,0,Liberal,1
956645852,,,1,,,,,0,0,0,0,Liberal,1
487686623,,,1,,,,,0,0,0,0,Liberal,1
421151200,,,1,,,,,0,0,0,0,Liberal,1
17875426,,,1,,,,,0,0,0,0,Liberal,1
1044272266513711104,,,1,,,,,0,0,0,0,Liberal,1
427672039,,,1,,,,,0,0,0,0,Liberal,1
1266878041868959744,,,1,,,,,0,0,0,0,Liberal,1
850124612549705728,,,1,,,,,0,3,3,0,Liberal,1
807029571195469824,,,1,,,,,0,0,0,0,Liberal,1
34947566,,,1,,,,,0,0,0,0,Liberal,1
272056816,,,1,,,,,0,0,0,0,Liberal,1
992059891,,,1,,,,,0,0,0,0,Liberal,1
235274745,,,1,,,,,0,0,0,0,Liberal,1
3484951036,,,1,,,,,0,4,4,0,Liberal,1
482386429,,,1,,,,,0,0,0,0,Liberal,1
893274928857972737,,,1,,,,,0,7,7,0,Liberal,1
861093170024775681,,,1,,,,,0,0,0,0,Liberal,1
854102723964190720,,,1,,,,,0,0,0,0,Liberal,1
800221790354030592,,,1,,,,,0,0,0,0,Liberal,1
800680018326077440,,,1,,,,,0,0,0,0,Liberal,1
860702908668461056,,,1,,,,,0,0,0,0,Liberal,1
3004162563,,,1,,,,,0,0,0,0,Liberal,1
884026348515115008,,,1,,,,,0,0,0,0,Liberal,1
971536182969384960,,,1,,,,,0,0,0,0,Liberal,1
2365063687,,,1,,,,,0,0,0,0,Liberal,1
2357019144,,,1,,,,,0,0,0,0,Liberal,1
188359178,,,1,,,,,0,2,2,0,Liberal,1
19997195,,,1,,,,,0,0,0,0,Liberal,1
2246320654,,,1,,,,,0,0,0,0,Liberal,1
883270158,,,1,,,,,0,0,0,0,Liberal,1
282378768,,,1,,,,,0,0,0,0,Liberal,1
2848252432,,,1,,,,,0,2,2,0,Liberal,1
1209229842,,,1,,,,,0,0,0,0,Liberal,1
86344211,,,1,,,,,0,0,0,0,Liberal,1
71049747,,,1,,,,,0,0,0,0,Liberal,1
78357013,,,1,,,,,0,0,0,0,Liberal,1
1282356419048734722,,,1,,,,,0,0,0,0,Liberal,1
82149920,,,1,,,,,0,0,0,0,Liberal,1
