Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon
243709627,,,DeanAllisonMP,Dean,Allison,Conservative,0.004264,0,3,0,0.000112,6
38100599,,,JohnBrassardCPC,John,Brassard,Conservative,0.009304,54019.74149,3,0,0.001005,6
4504267216,,,m_pauze,Monique,Pauzé,Bloc Québécois,0.023259,60179.970466,4,0,0.003239,6
63210367,,,ColinCarrieCPC,Colin,Carrie,Conservative,,,,,,6
1319298517,,,adamchamb,Adam,Chambers,Conservative,0.009691,84632.648213,3,0,0.001675,6
1084856644687679496,,,ScotDavidsonMP,Scot,Davidson,Conservative,0.008141,81786.598548,3,0,0.001229,6
3530226858,,,TerryDowdall,Terry,Dowdall,Conservative,0.013568,101213.002668,3,0,0.00201,6
2530008414,,,krimichaudbq,Kristina,Michaud,Bloc Québécois,0.069101,200041.822184,4,0.000112,0.009047,6
1026225299057389569,,,DaveEppCKL,Dave,Epp,Conservative,0.007365,41115.821149,3,0,0.000894,6
739149720,,,mferreriptbokaw,Michelle,Ferreri,Conservative,0.13614,2776032.751543,3,0.000112,0.027477,6
791282631006621696,,,MarilynGladuSL,Marilyn,Gladu,Conservative,0.030547,168767.246717,3,0,0.005026,6
1382491059247255554,,,Shelby_Kramp,Shelby,Kramp-Neuman,Conservative,0.042642,422347.472387,3,0,0.007484,6
989311745100566529,,,PLawrenceMP,Philip,Lawrence,Conservative,0.030198,167314.312055,3,0.000112,0.005585,6
1034798285389737984,,,ChrisLewisEssex,Chris,Lewis,Conservative,0.008916,39290.273941,3,0,0.000894,6
1851503720,,,BenLobbMP,Ben,Lobb,Conservative,0.006978,62314,3,0,0.000894,6
897770628,,,DaveMacKenzieMP,Dave,MacKenzie,Conservative,0.005427,8919.353583,3,0,0.000335,6
343059330,,,Eric_Melillo,Eric,Melillo,Conservative,0.033338,546327.727789,3,0.000112,0.007372,6
3356795013,,,Gabriel_SMarie,Gabriel,Ste-Marie,Bloc Québécois,0.020546,31925.921124,4,0,0.003574,6
47158291,,,danmuysforfg,Dan,Muys,Conservative,0.012017,59078.940067,3,0,0.00201,6
34606493,,,JohnNaterMP,John,Nater,Conservative,0.019654,153897.887274,3,0,0.003463,6
4104867797,,,ATherrienBQ,Alain,Therrien,Bloc Québécois,0.014343,57679.872431,4,0.000335,0.002904,6
283179858,,,ScottReidCPC,Scott,Reid,Conservative,,,,,,6
876849435820474368,,,Lianne_Rood,Lianne,Rood,Conservative,0.008141,70009.053382,3,0,0.001229,6
1086084557009575936,,,AlexRuff17,Alex,Ruff,Conservative,0.056597,705669.900703,3,0,0.008936,6
256552850,,,Jamie_Schmale,Jamie,Schmale,Conservative,0.020204,49975.658412,3,0,0.000894,6
1198299741060239360,,,kyleseeback,Kyle,Seeback,Conservative,0.008916,66844.309558,3,0,0.001452,6
883774859452579840,,,DougShipleyBSOM,Doug,Shipley,Conservative,0.049969,802950.539736,3,0,0.01184,6
269930134,,,karen_vecchio,Karen,Vecchio,Conservative,0.021321,262577.861812,3,0.000223,0.004468,6
3136229996,,,GenereuxBernard,Bernard,Généreux,Conservative,0.005815,89.200277,3,0,0.000558,6
943174774154498048,,,richardmartelpc,Richard,Martel,Conservative,0.014517,26284.209638,3,0.000223,0.001787,6
268832287,,,LucBerthold,Luc,Berthold,Conservative,0.036624,90685.891289,3,0.000335,0.002346,6
412708728,,,PierrePaulHus,Pierre,Paul-Hus,Conservative,0.099025,906184.785229,3,0.000112,0.017313,6
414218319,,,AlainRayes,Alain,Rayes,Conservative,0.036164,262984.749785,3,0.000112,0.005473,6
36133644,,,gerarddeltell,Gérard,Deltell,Conservative,0.076073,1443832.511074,3,0.000112,0.01385,6
28804785,,,KellyBlockmp,Kelly,Block,Conservative,0.004652,4166.038548,3,0,0.000223,6
3402128080,,,GillMarilene,Marilène,Gill,Bloc Québécois,0.024674,20433.450599,4,0,0.002569,6
564207331,,,MichaelKramSK,Michael,Kram,Conservative,0.025469,215117.371657,3,0,0.005361,6
955157569894404096,,,BradRedekopp,Brad,Redekopp,Conservative,0.01163,101497.739656,3,0,0.00201,6
256360738,,,AndrewScheer,Andrew,Scheer,Conservative,0.027523,433765.773983,3,0,0.006813,6
27079065,,,ctochor,Corey,Tochor,Conservative,0.006202,16950.679977,3,0,0.000558,6
16220555,,,ElizabethMay,Elizabeth,May,Green Party,0.046518,748801.756173,2,0.000112,0.009494,6
336662190,,,KevinVuongTO,Kevin,Vuong,Independent,0.006978,26820.269657,1,0,0.000558,6
16180205,,,JoyceMurray,Joyce,Murray,Liberal,0.01163,41536.28052,1,0,0.001564,6
2852899113,,,CQualtro,Carla,Qualtrough,Liberal,0.088174,683996.113796,1,0,0.013627,6
1162219997977960449,,,PatrickBWeiler,Patrick,Weiler,Liberal,0.045743,315721.791239,1,0.000223,0.009047,6
2322580746,,,jimcarr_wpg,Jim,Carr,Liberal,0.010467,49951.182879,1,0.000112,0.000782,6
171115367,,,TerryDuguid,Terry,Duguid,Liberal,0.008916,64581.776221,1,0,0.001117,6
208750527,,,Kevin_Lamoureux,Kevin,Lamoureux,Liberal,0.004264,0,1,0,0.000112,6
234550882,,,stbstvdan,Dan,Vandal,Liberal,0.061421,295135.734099,1,0.000112,0.005473,6
720579941184757760,,,DLeBlancNB,Dominic,LeBlanc,Liberal,0.071679,331816.84663,1,0,0.010164,6
436087744,,,WayneLongSJ,Wayne,Long,Liberal,0.025197,183392.48565,1,0,0.003909,6
3341414159,,,GinettePT,Ginette,Petitpas Taylor,Liberal,0.007753,45453.821308,1,0,0.001117,6
240786249,,,YvonneJJones,Yvonne,Jones,Liberal,0.049632,151334.079987,1,0.000335,0.002457,6
3257047456,,,McDonald4Avalon,Ken,McDonald,Liberal,0.017368,80422.517326,1,0,0.002569,6
22849568,,,SeamusORegan,Seamus,O'Regan,Liberal,0.184197,2048458.572334,1,0.000335,0.027477,6
500232993,,,ChurenceRogers,Churence,Rogers,Liberal,0.009304,76465.365939,1,0.000112,0.001229,6
1318671397560979456,,,Joanne_NL,Joanne,Thompson,Liberal,0.157076,536240.70405,1,0.000112,0.010611,6
3242606862,,,MMcLeodNWT,Michael,McLeod,Liberal,0.012793,111631.772854,1,0.000112,0.002122,6
1166717268975333376,,,JaimeBattiste,Jaime,Battiste,Liberal,0.026748,237404.175681,1,0.000223,0.005026,6
1171073846335721472,,,KodyBloisNS,Kody,Blois,Liberal,0.015894,84851.329482,1,0,0.00201,6
1304472952482783232,,,LenaMetlegeDiab,Lena Metlege,Diab,Liberal,0.004652,464.056772,1,0,0.000223,6
158458133,,,AndyFillmoreHFX,Andy,Fillmore,Liberal,0.076755,1078807.275814,1,0,0.014409,6
408072407,,,DarrenFisherNS,Darren,Fisher,Liberal,0.054041,448409.348705,1,0,0.006255,6
1072270926,,,SeanFraserMP,Sean,Fraser,Liberal,0.016243,108994.223714,1,0,0.002904,6
1192858611879428097,,,mikekelloway,Mike,Kelloway,Liberal,0.004264,0,1,0,0.000112,6
2789770741,,,darrellsamson,Darrell,Samson,Liberal,0.004264,0,1,0,0.000112,6
20199202,,,OmarAlghabra,Omar,Alghabra,Liberal,0.151399,1875414.88951,1,0,0.023568,6
578640179,,,Shafqat_Ali_1,Shafqat,Ali,Liberal,0.011242,57093.124019,1,0.000447,0.001452,6
1899063048,,,gary_srp,Gary,Anandasangaree,Liberal,0.155651,791673.34661,1,0,0.012845,6
2327530022,,,AryaCanada,Chandra,Arya,Liberal,0.012405,59261.585108,1,0,0.001452,6
1002181382,,,VBadawey,Vance,Badawey,Liberal,0.063575,331769.944498,1,0.000112,0.0086,6
47692251,,,Yvan_Baker,Yvan,Baker,Liberal,0.02575,151296.377653,1,0,0.003239,6
