Source,Target
1442922344037552128,83508245
1442922342644998150,83508245
1440394467337334798,83508245
1440126344067629056,83508245
1449082201023389703,4568748862
1449027934732365827,4568748862
1448021350765957132,4568748862
1448021348828295178,4568748862
1445768173140148227,4568748862
1445768171328184326,4568748862
1445493262274351114,4568748862
1443293672754200577,4568748862
1441610914302734336,4568748862
1440337973111709714,4568748862
1447769721416257536,44070432
1447262697263812612,44070432
1445835568559001600,44070432
1443649661047214104,44070432
1442153254167605249,44070432
1441536788548386819,44070432
1440316314711564302,44070432
1449060587623927816,1425866189780160514
1448324799227383810,1425866189780160514
1448131290641965058,1425866189780160514
1445929727580061698,1425866189780160514
1445929070374449152,1425866189780160514
1443573732421685251,1425866189780160514
1441178159752306688,1425866189780160514
1441010819202961413,1425866189780160514
1441002591173939200,1425866189780160514
1440894470409662470,1425866189780160514
1440069329739870215,1425866189780160514
1439783117494145026,1425866189780160514
1439782906067660803,1425866189780160514
1445460691972866059,1420552213253038080
1440322679651782674,1420552213253038080
1440322302801895424,1420552213253038080
1440322108379185159,1420552213253038080
1440321570497458186,1420552213253038080
1440321464750653443,1420552213253038080
1440321313998925827,1420552213253038080
1440320778214412301,1420552213253038080
1440320623067033602,1420552213253038080
1440320200549670918,1420552213253038080
1440320075974676491,1420552213253038080
1440319784860540943,1420552213253038080
1440319585526304774,1420552213253038080
1440319213080432657,1420552213253038080
1440319096646553601,1420552213253038080
1440318864923906055,1420552213253038080
1440318721969455109,1420552213253038080
1440318551210872837,1420552213253038080
1440318336206737419,1420552213253038080
1440318204367147018,1420552213253038080
1440317915526361099,1420552213253038080
1440317696101421067,1420552213253038080
1440317512378294283,1420552213253038080
1440317146936983562,1420552213253038080
1440316874709893130,1420552213253038080
1440316697995460613,1420552213253038080
1440288149507166217,1420552213253038080
1440035653505339394,1420552213253038080
1439924961834147842,1420552213253038080
1448572059571744774,335769776
1447042070040887301,335769776
1443450092346818563,335769776
1442559939004678147,335769776
1441294145134350339,335769776
1441241719610109952,335769776
1440184186933972992,335769776
1440184185524613129,335769776
1440184184144687108,335769776
1440184182659948551,335769776
1440120214507728896,335769776
1440048084772261891,335769776
1440029283397685257,335769776
1439965116410253313,335769776
1439773209130270723,335769776
1445428518758797321,401738614
1443218400600338432,401738614
1442482565227626497,401738614
1440155396358819846,401738614
1440003636059418624,401738614
1439960994185420800,401738614
1440178469682376708,1173429508034220032
1445439994752118790,1187132490684784642
1446646569101451264,16279532
1443596194299748352,16279532
1443594912478515204,16279532
1443594868593500165,16279532
1443594645334896647,16279532
1443594568117719046,16279532
1443594491617812484,16279532
1443594326982987777,16279532
1443594196938547205,16279532
1443593676492525569,16279532
1442510397517357064,16279532
1440140755243261952,16279532
1440115215144681476,16279532
1445810301191000066,216469057
1440304214899519489,216469057
1440304078517510147,216469057
1440181114996346888,216469057
1440049399065833482,216469057
1439775507621556224,216469057
1439757615039459334,216469057
1448990815708225540,1342125115383939073
1448986241618391043,1342125115383939073
1448984359688618019,1342125115383939073
1448716414777442305,1342125115383939073
1447541951587364864,1342125115383939073
1447210819352252422,1342125115383939073
1446823282242727939,1342125115383939073
1446810457801695234,1342125115383939073
1446808945281077252,1342125115383939073
1446497205351817230,1342125115383939073
1446277769185447943,1342125115383939073
1445436561730965520,1342125115383939073
1445134704324251650,1342125115383939073
1443551362185371650,1342125115383939073
1443546707942428678,1342125115383939073
1443313703848484869,1342125115383939073
1443176658740056066,1342125115383939073
1442157504960426000,1342125115383939073
1441130155196313609,1342125115383939073
1440817638397997063,1342125115383939073
1440658436530655252,1342125115383939073
1440657844395659274,1342125115383939073
1440646260998868995,1342125115383939073
1440191950875811840,1342125115383939073
1440177316122927108,1342125115383939073
1439934506966847489,1342125115383939073
1439926420994760704,1342125115383939073
1448857195148423188,273262205
1448496364967579648,273262205
1448016922851872785,273262205
1447610722972803075,273262205
1447376292001812481,273262205
1446855369985347588,273262205
1446681302246297601,273262205
1446320110365462537,273262205
1445166578950082562,273262205
1444704011161161734,273262205
1444424047052394499,273262205
1443993495606284292,273262205
1443286806112448513,273262205
1443064744311762947,273262205
1442335983035289602,273262205
1441115166410625030,273262205
1440756590416592912,273262205
1440334290621919241,273262205
1440213125903437825,273262205
1440046161402884106,273262205
1440045288543059971,273262205
1448799990692917252,3234862179
1448430035317272582,3234862179
1447531870036676616,3234862179
1446593278728675330,3234862179
1445860553273102342,3234862179
1445524137422700549,3234862179
1444081069909815296,3234862179
1443629110480277509,3234862179
1441035140071710730,3234862179
1440347488280465418,3234862179
1440321841604694020,3234862179
1440201721158856704,3234862179
1440165175575805960,3234862179
1440008837889773571,3234862179
1439907304808321024,3234862179
1447681178828484616,261772246
1447632543856177158,261772246
1446468632230367242,261772246
1446431805964537883,261772246
1446277282545418250,261772246
1446080050294575110,261772246
1445889777392254979,261772246
1442110667541008407,261772246
1441488431453024259,261772246
1441478987360866307,261772246
1440803734917836804,261772246
1440788298453032960,261772246
1440421985155092484,261772246
1440387073425375248,261772246
1439960295896723464,261772246
1449113475486154753,38625077
1449047832606826504,38625077
1448704187416473602,38625077
1448702915934179329,38625077
1448320789619507207,38625077
1448300846022742023,38625077
1447993174614364161,38625077
1447250233524580352,38625077
1446924495151779841,38625077
1446601591721582597,38625077
1446590318422286339,38625077
1446497967884562442,38625077
1446202579172552704,38625077
1446172873937195009,38625077
1445919454160773124,38625077
1445783623467032577,38625077
1445667996144332806,38625077
1445623639122989057,38625077
1445038821314207744,38625077
1444402789128364035,38625077
1443986888092573698,38625077
1443764887046348806,38625077
1443672443139198985,38625077
1443579883385278467,38625077
1443579879811813390,38625077
1443579873885245444,38625077
1443313374704508930,38625077
1443279689980596225,38625077
1443258933628444673,38625077
1443016957465284608,38625077
1443003866077753347,38625077
1442918080124907521,38625077
1442568398383185922,38625077
1442497265575157765,38625077
1441844641922383875,38625077
1441807200964395016,38625077
1441581668691689473,38625077
1441121185404624896,38625077
1440780222803046404,38625077
1440400227362492421,38625077
1440338544698937356,38625077
1447921377122693134,1063494232126689280
