Id,Label,timeset,twittername,first name,last name,political affiliation
83508245,,,dckurek,Damien,Kurek,Conservative
4568748862,,,ziad_aboultaif,Ziad,Aboultaif,Conservative
44070432,,,LailaGoodridge,Laila,Goodridge,Conservative
1425866189780160514,,,POhara2021,Patrick,O'Hara,Bloc Québécois
1420552213253038080,,,NathalieSincla3,Nathalie,Sinclair-Desgagné,Bloc Québécois
335769776,,,jwaldag,John,Aldag,Liberal
401738614,,,BerubeABJNE,Sylvie,Bérubé,Bloc Québécois
1173429508034220032,,,ClaudeDBF_bq,Claude,DeBellefeuille,Bloc Québécois
1187132490684784642,,,LouiseChabotBQ,Louise,Chabot,Bloc Québécois
16279532,,,terrybeech,Terry,Beech,Liberal
216469057,,,seblemire,Sébastien,Lemire,Bloc Québécois
1342125115383939073,,,JeanDenisGaron1,Jean-Denis,Garon,Bloc Québécois
273262205,,,A_Larouche_Shef,Andréanne,Larouche,Bloc Québécois
3234862179,,,BlanchetteMax,Maxime,Blanchette-Joncas,Bloc Québécois
261772246,,,mariosimardbq,Mario,Simard,Bloc Québécois
38625077,,,sukhdhaliwal,Sukh,Dhaliwal,Liberal
1063494232126689280,,,JulieVignolaBL,Julie,Vignola,Bloc Québécois
335361064,,,martchampoux,Martin,Champoux,Bloc Québécois
1125543746697924609,,,MHGaudreauBQ,Marie-Hélène,Gaudreau,Bloc Québécois
25127782,,,HedyFry,Hedy,Fry,Liberal
24990450,,,renevillemure,René,Villemure,Bloc Québécois
3025416359,,,yvesperronbq,Yves,Perron,Bloc Québécois
1143229947932229632,,,LucDesiletsBQ,Luc,Desilets,Bloc Québécois
521630301,,,SPSTremblay,Simon-Pierre,Savard-Tremblay,Bloc Québécois
1044738781171961856,,,GregMcLeanYYC,Greg,McLean,Conservative
2254171724,,,RonLiepert,Ron,Liepert,Conservative
272617171,,,earl_dreeshen,Earl,Dreeshen,Conservative
3115495914,,,MartinBowRiver,Martin,Shields,Conservative
737359208945844224,,,BobBenzen,Bob,Benzen,Conservative
3375064758,,,ArnoldViersen,Arnold,Viersen,Conservative
720083863830069249,,,GlenMotz,Glen,Motz,Conservative
2555308646,,,PatKelly_MP,Pat,Kelly,Conservative
268528986,,,tomkmiec,Tom,Kmiec,Conservative
1722999380,,,StephanieKusie,Stephanie,Kusie,Conservative
156288226,,,BlaineFCalkins,Blaine,Calkins,Conservative
15810950,,,jeneroux,Matt,Jeneroux,Conservative
270570153,,,JohnBarlowMP,John,Barlow,Conservative
2149496034,,,Cooper4SAE,Michael,Cooper,Conservative
24171225,,,BlakeRichardsMP,Blake,Richards,Conservative
129395750,,,MikeLakeMP,Mike,Lake,Conservative
14538949,,,MichelleRempel,Michelle,Rempel Garner,Conservative
3358671,,,KenHardie,Ken,Hardie,Liberal
964829521,,,MelArnoldMP,Mel,Arnold,Conservative
1093140187486539777,,,FrankCaputoMD,Frank,Caputo,Conservative
248866864,,,MarcDalton,Marc,Dalton,Conservative
1283934079,,,KerryLynneFindl,Kerry-Lynne,Findlay,Conservative
2733595406,,,TracyGrayKLC,Tracy,Gray,Conservative
1278253171,,,BradleyVis,Brad,Vis,Conservative
176207343,,,bobzimmermp,Bob,Zimmer,Conservative
2375818352,,,ChristineNorm,Christine,Normandin,Bloc Québécois
3071709259,,,RaquelDancho,Raquel,Dancho,Conservative
1686740173,,,LarryMaguireMP,Larry,Maguire,Conservative
324555383,,,MBDan7,Dan,Mazier,Conservative
1021022461,,,marty_morantz,Marty,Morantz,Conservative
1104590774,,,RichardBragdon,Richard,Bragdon,Conservative
237281828,,,RobMoore_CPC,Rob,Moore,Conservative
321752222,,,JohnWilliamson_,John,Williamson,Conservative
172004509,,,ScottAAitchison,Scott,Aitchison,Conservative
243709627,,,DeanAllisonMP,Dean,Allison,Conservative
38100599,,,JohnBrassardCPC,John,Brassard,Conservative
4504267216,,,m_pauze,Monique,Pauzé,Bloc Québécois
63210367,,,ColinCarrieCPC,Colin,Carrie,Conservative
1319298517,,,adamchamb,Adam,Chambers,Conservative
1084856644687679496,,,ScotDavidsonMP,Scot,Davidson,Conservative
3530226858,,,TerryDowdall,Terry,Dowdall,Conservative
2530008414,,,krimichaudbq,Kristina,Michaud,Bloc Québécois
1026225299057389569,,,DaveEppCKL,Dave,Epp,Conservative
739149720,,,mferreriptbokaw,Michelle,Ferreri,Conservative
791282631006621696,,,MarilynGladuSL,Marilyn,Gladu,Conservative
1382491059247255554,,,Shelby_Kramp,Shelby,Kramp-Neuman,Conservative
989311745100566529,,,PLawrenceMP,Philip,Lawrence,Conservative
