Source,Target
2975160689,Bloc Québécois
16272844,Liberal
2358613812,Liberal
155098578,Liberal
2821322901,Liberal
301781766,Liberal
1223950760,Liberal
4719872722,Liberal
4966041,Liberal
356406495,Liberal
17389318,Liberal
111106446,Liberal
4787630420,Liberal
2874749056,Liberal
1223950760,Liberal
105490406,Liberal
622800082,Liberal
17389318,Liberal
16272844,Liberal
394245906,Liberal
17721863,Bloc Québécois
2975160689,Bloc Québécois
134876261,Bloc Québécois
2693735376,Bloc Québécois
17721863,Bloc Québécois
599677550,Bloc Québécois
280064371,Bloc Québécois
215423949,Bloc Québécois
1251518605600206850,Bloc Québécois
261772246,Bloc Québécois
733455468,Bloc Québécois
557289715,Bloc Québécois
215423949,Bloc Québécois
1032849138,Bloc Québécois
1014015888,Bloc Québécois
134876261,Bloc Québécois
290683608,Bloc Québécois
1106253079983390721,Bloc Québécois
1251518605600206850,Bloc Québécois
54034509,Bloc Québécois
71444847,Bloc Québécois
105975090,Bloc Québécois
792139214,Bloc Québécois
1423390095562915849,Bloc Québécois
2377760095,Bloc Québécois
227101581,Bloc Québécois
122144451,Bloc Québécois
1439240496921161733,Bloc Québécois
161552398,Bloc Québécois
982359026410209280,Bloc Québécois
92821882,Bloc Québécois
66446686,Bloc Québécois
2693735376,Bloc Québécois
1279885961841819649,Bloc Québécois
1342125115383939073,Bloc Québécois
792139214,Bloc Québécois
776856139,Bloc Québécois
243903847,Bloc Québécois
17721863,Bloc Québécois
2305376845,Bloc Québécois
455900881,Bloc Québécois
2377760095,Bloc Québécois
2530008414,Bloc Québécois
97904065,Bloc Québécois
708387548859604992,Bloc Québécois
1707025764,Bloc Québécois
917184736501657600,Bloc Québécois
1222668550080475136,Bloc Québécois
131317072,Bloc Québécois
2400000572,Bloc Québécois
97904065,Bloc Québécois
92821882,Bloc Québécois
139712323,Bloc Québécois
195049872,Bloc Québécois
831073214,Bloc Québécois
557289715,Bloc Québécois
122144451,Bloc Québécois
2801095093,Bloc Québécois
708387548859604992,Bloc Québécois
750460751240888324,Bloc Québécois
1251518605600206850,Bloc Québécois
2400000572,Bloc Québécois
3379976578,Bloc Québécois
562762571,Bloc Québécois
776856139,Bloc Québécois
1055761939,Bloc Québécois
2377760095,Bloc Québécois
1342848846,Bloc Québécois
134876261,Bloc Québécois
156487702,Bloc Québécois
195049872,Bloc Québécois
190516402,Bloc Québécois
280223998,Bloc Québécois
154915250,Bloc Québécois
896911058459340800,Bloc Québécois
172889446,Bloc Québécois
956294047966081025,Bloc Québécois
25371142,Bloc Québécois
17721863,Bloc Québécois
298558514,Bloc Québécois
2369459569,Bloc Québécois
1055761939,Bloc Québécois
92821882,Bloc Québécois
557289715,Bloc Québécois
132191779,Bloc Québécois
1222668550080475136,Bloc Québécois
16213179,Bloc Québécois
1251518605600206850,Bloc Québécois
947989309239545857,Bloc Québécois
746307966,Bloc Québécois
72950055,Bloc Québécois
1543396879,Bloc Québécois
455900881,Bloc Québécois
768392971,Bloc Québécois
182401775,Bloc Québécois
1066847336050147329,Bloc Québécois
2400000572,Bloc Québécois
1383459804962639884,Bloc Québécois
1090055713462865925,Bloc Québécois
2975160689,Bloc Québécois
215423949,Bloc Québécois
97904065,Bloc Québécois
552741734,Bloc Québécois
2693735376,Bloc Québécois
2801095093,Bloc Québécois
1440532151582134272,Bloc Québécois
242506295,Bloc Québécois
799272060,Bloc Québécois
1279885961841819649,Bloc Québécois
2370756440,Bloc Québécois
165100373,Bloc Québécois
1353619250838183938,Bloc Québécois
1518121218,Bloc Québécois
1135278580689190912,Bloc Québécois
134876261,Bloc Québécois
2801095093,Bloc Québécois
129863114,Bloc Québécois
182401775,Bloc Québécois
1188166700,Bloc Québécois
1297264439662608384,Bloc Québécois
89319056,Bloc Québécois
996200380013916160,Bloc Québécois
1288862425861836801,Bloc Québécois
552741734,Bloc Québécois
557289715,Bloc Québécois
1425866189780160514,Bloc Québécois
122144451,Bloc Québécois
129863114,Bloc Québécois
271136094,Bloc Québécois
2693735376,Bloc Québécois
998328097,Bloc Québécois
479088229,Bloc Québécois
568429780,Bloc Québécois
195049872,Bloc Québécois
105975090,Bloc Québécois
2801095093,Bloc Québécois
917184736501657600,Bloc Québécois
479088229,Bloc Québécois
1342125115383939073,Bloc Québécois
2693735376,Bloc Québécois
195049872,Bloc Québécois
479088229,Bloc Québécois
1426965765744439300,Bloc Québécois
583364739,Bloc Québécois
97904065,Bloc Québécois
568429780,Bloc Québécois
4104867797,Bloc Québécois
242506295,Bloc Québécois
132191779,Bloc Québécois
134876261,Bloc Québécois
4834905915,Bloc Québécois
599677550,Bloc Québécois
165100373,Bloc Québécois
2369459569,Bloc Québécois
2693735376,Bloc Québécois
479088229,Bloc Québécois
1106771831837675521,Bloc Québécois
190410219,Bloc Québécois
525719842,Bloc Québécois
578590553,Bloc Québécois
1212150302788345857,Bloc Québécois
2801095093,Bloc Québécois
2363571329,Bloc Québécois
763991641,Bloc Québécois
896911058459340800,Bloc Québécois
97904065,Bloc Québécois
4329149122,Bloc Québécois
1009785173011988480,Bloc Québécois
281121545,Bloc Québécois
257179344,Bloc Québécois
3578717895,Bloc Québécois
479088229,Bloc Québécois
998328097,Bloc Québécois
156487702,Bloc Québécois
105975090,Bloc Québécois
917184736501657600,Bloc Québécois
2975160689,Bloc Québécois
559023147,Bloc Québécois
197607704,Bloc Québécois
2363048184,Bloc Québécois
838440724408516608,Bloc Québécois
1280337364993429504,Bloc Québécois
1342848846,Bloc Québécois
580978766,Bloc Québécois
776856139,Bloc Québécois
2369459569,Bloc Québécois
280064371,Bloc Québécois
2400000572,Bloc Québécois
746307966,Bloc Québécois
4623339465,Bloc Québécois
3379976578,Bloc Québécois
2693735376,Bloc Québécois
1279885961841819649,Bloc Québécois
92821882,Bloc Québécois
2363571329,Bloc Québécois
1251518605600206850,Bloc Québécois
92821882,Bloc Québécois
598641595,Bloc Québécois
2375671734,Bloc Québécois
1109136672917209091,Bloc Québécois
446272806,Bloc Québécois
1280337364993429504,Bloc Québécois
2693735376,Bloc Québécois
1279885961841819649,Bloc Québécois
1251518605600206850,Bloc Québécois
280064371,Bloc Québécois
2377760095,Bloc Québécois
110475311,Bloc Québécois
578590553,Bloc Québécois
29829354,Bloc Québécois
1417147821472501764,Bloc Québécois
1009785173011988480,Bloc Québécois
97904065,Bloc Québécois
4834905915,Bloc Québécois
1342125115383939073,Bloc Québécois
765177124730929152,Bloc Québécois
29829354,Bloc Québécois
2854830300,Bloc Québécois
262305830,Bloc Québécois
1352699133379883008,Bloc Québécois
280064371,Bloc Québécois
1251518605600206850,Bloc Québécois
596787864,Bloc Québécois
1423390095562915849,Bloc Québécois
122144451,Bloc Québécois
2801095093,Bloc Québécois
2693735376,Bloc Québécois
599677550,Bloc Québécois
2801095093,Bloc Québécois
1707025764,Bloc Québécois
578590553,Bloc Québécois
23713344,Bloc Québécois
4835935229,Bloc Québécois
97904065,Bloc Québécois
195049872,Bloc Québécois
600234980,Bloc Québécois
998328097,Bloc Québécois
578590553,Bloc Québécois
2975160689,Bloc Québécois
215423949,Bloc Québécois
1009785173011988480,Bloc Québécois
765177124730929152,Bloc Québécois
132191779,Bloc Québécois
2797134487,Bloc Québécois
257530658,Bloc Québécois
1165944978,Bloc Québécois
583543380,Bloc Québécois
110475311,Bloc Québécois
154915250,Bloc Québécois
585989171,Bloc Québécois
129863114,Bloc Québécois
557289715,Bloc Québécois
1433606604218408963,Bloc Québécois
2323834254,Bloc Québécois
139712323,Bloc Québécois
236490334,Bloc Québécois
1319082870498091008,Bloc Québécois
2693735376,Bloc Québécois
375766773,Bloc Québécois
1053324714427465728,Bloc Québécois
1423390095562915849,Bloc Québécois
1076825961688125441,Bloc Québécois
122144451,Bloc Québécois
1425866189780160514,Bloc Québécois
2801095093,Bloc Québécois
2693735376,Bloc Québécois
132191779,Bloc Québécois
708387548859604992,Bloc Québécois
229289841,Bloc Québécois
2975160689,Bloc Québécois
300211451,Bloc Québécois
134876261,Bloc Québécois
1917216540,Bloc Québécois
2693735376,Bloc Québécois
578590553,Bloc Québécois
1310206245631078400,Bloc Québécois
115587493,Bloc Québécois
92821882,Bloc Québécois
132191779,Bloc Québécois
1009785173011988480,Bloc Québécois
228354250,Bloc Québécois
891422779,Bloc Québécois
3578717895,Bloc Québécois
2797134487,Bloc Québécois
1009785173011988480,Bloc Québécois
1078434428,Bloc Québécois
97904065,Bloc Québécois
3578717895,Bloc Québécois
1009785173011988480,Bloc Québécois
280064371,Bloc Québécois
105975090,Bloc Québécois
2801095093,Bloc Québécois
2693735376,Bloc Québécois
1423390095562915849,Bloc Québécois
948418445187715072,Bloc Québécois
195049872,Bloc Québécois
3578717895,Bloc Québécois
115587493,Bloc Québécois
892064864,Bloc Québécois
600234980,Bloc Québécois
105975090,Bloc Québécois
2363571329,Bloc Québécois
2801095093,Bloc Québécois
92821882,Bloc Québécois
892064864,Bloc Québécois
479088229,Bloc Québécois
1009785173011988480,Bloc Québécois
