id, overlapID
1109405647366426624,1
1162219997977960449,1
985570002131550208,1
1387143248465047554,1
1427258589077508100,1
1006186075390439424,1
919548186590621696,1
1144289639924207616,1
1170770038208565248,1
1303704709123969024,1
1143342270399373313,1
22501387,1
1339638313637036039,1
1159457355295338500,1
796839329368866817,1
1042586234193756161,1
1378739842264207367,1
1370830299072987139,1
1055935247567781890,1
1115838887623122954,1
282526718,1
2198725662,1
22849568,1
2983179809,1
2344419362,1
265743906,1
32244772,1
22565926,1
1185531782952816640,1
20530732,1
205786669,1
2909908526,1
90680886,1
2557859383,1
283226685,1
494683709,1
1295456970049118208,1
609432652,1
109375565,1
1072270926,1
1467415686,1
2978018901,1
19634262,1
2448438361,1
1080999330461343744,1
234550882,1
802034597567598593,1
246948963,1
214492262,1
278260840,1
249196138,1
2229187188,1
425710711,1
783393750454198273,1
1646334073,1
235355769,1
3237987454,1
292468351,1
983875620194013184,1
1318671397560979456,1
823056541729296384,1
1183544021626621953,1
1380182085906862080,1
21499014,1
1327928839847219201,1
1213405462021853185,1
1117616102442455041,1
1439018845218361345,1
1049430977142018050,1
913149899016933377,1
1134206161555787778,1
61521038,1
116808839,1
1291531291066798083,1
1295049234312581121,1
123920535,1
596787864,1
1411895114004238342,1
749515428,1
1436184229,1
843912870,1
2242940071,1
38880420,1
925220521,1
2148927146,1
327244966,1
335769776,1
2937436849,1
107886768,1
48035511,1
3400323767,1
273465530,1
1028673830481485824,1
751852736,1
35835586,1
407372483,1
282164421,1
2891740872,1
47338701,1
184265422,1
4719872722,1
2848993491,1
417389780,1
2844085461,1
443804372,1
408072407,1
285771480,1
4168242695,1
17834196,1
3027352793,1
987742428,1
867826603480539136,1
33061603,1
40550119,1
45848808,1
4292519659,1
17204460,1
249221867,1
1180991940042661888,1
32480499,1
286499066,1
716501756,1
276713213,1
477503229,1
834519511009091584,1
730064899863273472,1
1334551348235264000,1
930146052019167232,1
720579941184757760,1
1296685293073047553,1
17174791,1
1899063048,1
1002181382,1
23962378,1
1401102261946884098,1
2322580746,1
1198941983462612993,1
972851747294273537,1
1123395231792209922,1
154311944,1
1356743668137353218,1
394245906,1
1181242595269369858,1
548833557,1
339752726,1
2345269014,1
629743388,1
788018802869100550,1
336357663,1
500232993,1
20199202,1
1442076364501180423,1
3163148070,1
15677734,1
2852899113,1
4395821867,1
1262185260,1
1033285939,1
578640179,1
552119609,1
292053307,1
1108409631334793216,1
