,id,comm,dup
0,1109405647366426624,1,False
1,1162219997977960449,1,False
2,985570002131550208,1,False
3,1387143248465047554,1,False
4,1427258589077508100,1,False
5,1006186075390439424,1,False
6,919548186590621696,1,False
7,1144289639924207616,1,False
8,1170770038208565248,1,False
9,1303704709123969024,1,False
10,1143342270399373313,1,False
11,22501387,1,False
12,1339638313637036039,1,False
13,1159457355295338500,1,False
14,796839329368866817,1,False
15,1042586234193756161,1,False
16,1378739842264207367,1,False
17,1370830299072987139,1,False
18,1055935247567781890,1,False
19,1115838887623122954,1,False
20,282526718,1,False
21,2198725662,1,False
22,22849568,1,False
23,2983179809,1,False
24,2344419362,1,False
25,265743906,1,False
26,32244772,1,False
27,22565926,1,False
28,1185531782952816640,1,False
29,20530732,1,False
30,205786669,1,False
31,2909908526,1,False
32,90680886,1,False
33,2557859383,1,False
34,283226685,1,False
35,494683709,1,False
36,1295456970049118208,1,False
37,609432652,1,False
38,109375565,1,False
39,1072270926,1,False
40,1467415686,1,False
41,2978018901,1,False
42,19634262,1,False
43,2448438361,1,False
44,1080999330461343744,1,False
45,234550882,1,False
46,802034597567598593,1,False
47,246948963,1,False
48,214492262,1,False
49,278260840,1,False
50,249196138,1,False
51,2229187188,1,False
52,425710711,1,False
53,783393750454198273,1,False
54,1646334073,1,False
55,235355769,1,False
56,3237987454,1,False
57,292468351,1,False
58,983875620194013184,1,False
59,1318671397560979456,1,False
60,823056541729296384,1,False
61,1183544021626621953,1,False
62,1380182085906862080,1,False
63,21499014,1,False
64,1327928839847219201,1,False
65,1213405462021853185,1,False
66,1117616102442455041,1,False
67,1439018845218361345,1,False
68,1049430977142018050,1,False
69,913149899016933377,1,False
70,1134206161555787778,1,False
71,61521038,1,False
72,116808839,1,False
73,1291531291066798083,1,False
74,1295049234312581121,1,False
75,123920535,1,False
76,596787864,1,False
77,1411895114004238342,1,False
78,749515428,1,False
79,1436184229,1,False
80,843912870,1,False
81,2242940071,1,False
82,38880420,1,False
83,925220521,1,False
84,2148927146,1,False
85,327244966,1,False
86,335769776,1,False
87,2937436849,1,False
88,107886768,1,False
89,48035511,1,False
90,3400323767,1,False
91,273465530,1,False
92,1028673830481485824,1,False
93,751852736,1,False
94,35835586,1,False
95,407372483,1,False
96,282164421,1,False
97,2891740872,1,False
98,47338701,1,False
99,184265422,1,False
100,4719872722,1,False
101,2848993491,1,False
102,417389780,1,False
103,2844085461,1,False
104,443804372,1,False
105,408072407,1,False
106,285771480,1,False
107,4168242695,1,False
108,17834196,1,False
109,3027352793,1,False
110,987742428,1,False
111,867826603480539136,1,False
112,33061603,1,False
113,40550119,1,False
114,45848808,1,False
115,4292519659,1,False
116,17204460,1,False
117,249221867,1,False
118,1180991940042661888,1,False
119,32480499,1,False
120,286499066,1,False
121,716501756,1,False
122,276713213,1,False
123,477503229,1,False
124,834519511009091584,1,False
125,730064899863273472,1,False
126,1334551348235264000,1,False
127,930146052019167232,1,False
128,720579941184757760,1,False
129,1296685293073047553,1,False
130,17174791,1,False
131,1899063048,1,False
132,1002181382,1,False
133,23962378,1,False
134,1401102261946884098,1,False
135,2322580746,1,False
136,1198941983462612993,1,False
137,972851747294273537,1,False
138,1123395231792209922,1,False
139,154311944,1,False
140,1356743668137353218,1,False
141,394245906,1,False
142,1181242595269369858,1,False
143,548833557,1,False
144,339752726,1,False
145,2345269014,1,False
146,629743388,1,False
147,788018802869100550,1,False
148,336357663,1,False
149,500232993,1,False
150,20199202,1,False
151,1442076364501180423,1,False
152,3163148070,1,False
153,15677734,1,False
154,2852899113,1,False
155,4395821867,1,False
156,1262185260,1,False
157,1033285939,1,False
158,578640179,1,False
159,552119609,1,False
160,292053307,1,False
161,1108409631334793216,1,False
162,3145959239,1,False
163,971857794826567680,1,False
164,240786249,1,False
165,1022319903338987520,1,False
166,327533387,1,False
167,1454928205,1,False
168,1373991758,1,False
169,43510607,1,False
170,709860687,1,False
171,256775505,1,False
172,2413332228,1,False
173,570841936,1,False
174,89505108,1,False
175,1161773396,1,False
176,4787630420,1,False
177,265419095,1,False
178,4499430739,1,False
179,22279004,1,False
180,1706203484,1,False
181,3098295646,1,False
182,570619229,1,False
183,560707426,1,False
184,3400282468,1,False
185,25127782,1,False
186,2561429863,1,False
187,824450408,1,False
188,2332742508,1,False
189,514482028,1,False
190,2536457582,1,False
191,3536757616,1,False
192,244650352,1,False
193,579377522,1,False
194,1224753522,1,False
195,1676832624,1,False
196,14837621,1,False
197,29754743,1,False
198,964952442,1,False
199,703722876,1,False
200,2525412733,1,False
201,127134078,1,False
202,1166717268975333376,1,False
203,3146336130,1,False
204,705023369339662336,1,False
