id,community
1385933370090209280,1
921026239808208896,1
1175052073605353473,1
822476228548403200,1
720934098223542272,1
716257068538327040,1
1416535505454338050,1
1433403537329819654,1
1253486892823179264,1
1267175683626696705,1
1267717469965152258,1
714947543323525125,1
1389236473724088324,1
1366110449276706822,1
1310819379190337543,1
1423385158263132168,1
1420482733135040522,1
1405971529217740812,1
1445090669643517961,1
1429555219457773581,1
952980338745147394,1
1400047044191006732,1
1440522413687521295,1
915991337933078531,1
1419756165055975441,1
1419998048562909204,1
341180420,1
3007815702,1
92905504,1
285196322,1
292667439,1
1346936882,1
295829514,1
2906452022,1
386330680,1
4800864314,1
2711875642,1
4850122813,1
32235586,1
15081539,1
862703683,1
273866823,1
243912778,1
817811639516991488,1
33456207,1
331067472,1
102887506,1
431673426,1
559870034,1
1367920728,1
297074777,1
56016987,1
80212065,1
3096625250,1
56164450,1
3139690604,1
3153084524,1
225067116,1
2256674930,1
1353027698,1
4159606899,1
19087483,1
40591485,1
994295935,1
1294478815628890112,1
1134558647835430912,1
1438203438794412032,1
831084798621782016,1
717895042602504192,1
718082561596067840,1
1280249212567818240,1
702963029521076224,1
1233196108211294209,1
826499437585371136,1
120320139,1
824364572131856385,1
1392128666998542337,1
846667915,1
1120085915710263297,1
1416921060788801539,1
233164948,1
788187354771099652,1
1404102585317986308,1
128290965,1
18579611,1
1424060815947206662,1
1247541393121087495,1
1382793386,1
16552108,1
4775862446,1
195899568,1
108413104,1
14352562,1
4856189107,1
2813399220,1
2821464243,1
15360181,1
823265236916416512,1
1413820603,1
833818813,1
608694463,1
2253795524,1
2314531026,1
53772503,1
1074335960,1
3567831,1
262910171,1
1633538270,1
77283552,1
187805921,1
17105128,1
214708464,1
246,1
2552770807,1
2193211639,1
403857659,1
398483708,1
558330112,1
869639001400942592,1
761458169386246144,1
771389564736905216,1
756953808131858432,1
892060639526395904,1
48369926,1
793448364885024769,1
37609730,1
573788425,1
12599562,1
636649732,1
12992772,1
1129198217164234753,1
372359435,1
708990479895896066,1
421830937,1
241651997,1
16240926,1
2715275551,1
284029219,1
113754405,1
24752425,1
27013422,1
195207470,1
2340561200,1
729194378779078656,1
1267640853000007680,1
880491635896922112,1
3024400694,1
150270263,1
2709029176,1
292524345,1
3179475258,1
212463932,1
22491454,1
52003137,1
342176065,1
279195976,1
731469980890476545,1
1957597519,1
2353185104,1
281289042,1
159318355,1
399184212,1
187257177,1
4715389280,1
39268708,1
359260523,1
815415661,1
467804527,1
21815663,1
103297393,1
486703473,1
33034609,1
35692915,1
2824020340,1
252150132,1
15257975,1
199876983,1
94712187,1
1285267621927989248,1
1293886338312187904,1
1265350869391781888,1
958043434568134656,1
947487287855558656,1
1322191014455554048,1
1239656154541600769,1
756909131533922304,1
27652488,1
1253397325893873665,1
826573520238948353,1
1260759194833006593,1
2748289416,1
385008014,1
962255435766968322,1
30368137,1
122130825,1
16220555,1
624619918,1
708739471,1
867807149279162372,1
22532501,1
455786903,1
30237079,1
1212777267169873920,1
2922779039,1
55841183,1
51311010,1
437658020,1
1355980761443217415,1
144036263,1
1223950760,1
563012009,1
581833131,1
396149168,1
1851634098,1
454336947,1
84734389,1
18940341,1
855478711,1
104300984,1
22630846,1
476484031,1
507802048,1
369093,1
208540102,1
2923254216,1
24707528,1
3666395597,1
21508112,1
1508110801,1
28045785,1
4490072542,1
349692386,1
4759974372,1
1112914064076931072,1
871189841186357248,1
30089706,1
44171755,1
2240074220,1
65917423,1
872152901870911489,1
1656070657,1
808450734240972800,1
948669758903173120,1
885811180278661120,1
822810047025659904,1
1401659310015397889,1
1430602059989008385,1
814289414,1
928262146542026752,1
29651460,1
1433249159474200577,1
3306930701,1
17912334,1
35152404,1
540103190,1
824028437568438277,1
725309237862223872,1
62353949,1
973087261,1
21426717,1
1380189591735517190,1
48415266,1
154419754,1
