id,communityid,Label,timeset,twittername,first name,last name,political affiliation,community
838963324113006592,1,,,,,,,Liberal
744595917790130176,1,,,,,,,Liberal
1319308147165638656,1,,,,,,,Liberal
38584709,1,,,,,,,Liberal
1346618752134164481,1,,,,,,,Liberal
96027015,1,,,,,,,Liberal
3142877576,1,,,,,,,Liberal
1337978463446249473,1,,,,,,,Liberal
4230168979,1,,,,,,,Liberal
631988630,1,,,MonaFortier,Mona,Fortier,Liberal,Liberal
30237079,1,,,,,,,Liberal
1348410322667843589,1,,,,,,,Liberal
1368498204879114240,1,,,,,,,Liberal
946856348,1,,,,,,,Liberal
14705053,1,,,,,,,Liberal
709304733,1,,,,,,,Liberal
353239455,1,,,,,,,Liberal
167985567,1,,,,,,,Liberal
1030168238011731968,1,,,,,,,Liberal
1223950760,1,,,,,,,Liberal
123519401,1,,,,,,,Liberal
395993515,1,,,,,,,Liberal
1445085426708926465,1,,,,,,,Liberal
2375303610,1,,,,,,,Liberal
1236419006,1,,,,,,,Liberal
93020616,1,,,,,,,Liberal
1449681354,1,,,,,,,Liberal
290791883,1,,,,,,,Liberal
36528586,1,,,,,,,Liberal
1645101518,1,,,,,,,Liberal
1411424719,1,,,,,,,Liberal
859029968,1,,,,,,,Liberal
47817168,1,,,,,,,Liberal
460661204,1,,,,,,,Liberal
1020805591,1,,,,,,,Liberal
956645852,1,,,,,,,Liberal
487686623,1,,,,,,,Liberal
421151200,1,,,,,,,Liberal
17875426,1,,,,,,,Liberal
1047279571719127040,1,,,,,,,Liberal
427672039,1,,,,,,,Liberal
34947566,1,,,,,,,Liberal
272056816,1,,,,,,,Liberal
992059891,1,,,,,,,Liberal
235274745,1,,,,,,,Liberal
3484951036,1,,,,,,,Liberal
482386429,1,,,,,,,Liberal
1245378985883828225,1,,,,,,,Liberal
854102723964190720,1,,,,,,,Liberal
884026348515115008,1,,,,,,,Liberal
800221790354030592,1,,,,,,,Liberal
860702908668461056,1,,,,,,,Liberal
800680018326077440,1,,,,,,,Liberal
971536182969384960,1,,,,,,,Liberal
3004162563,1,,,,,,,Liberal
2365063687,1,,,,,,,Liberal
2357019144,1,,,,,,,Liberal
188359178,1,,,,,,,Liberal
19997195,1,,,,,,,Liberal
2246320654,1,,,,,,,Liberal
883270158,1,,,,,,,Liberal
282378768,1,,,,,,,Liberal
2848252432,1,,,,,,,Liberal
1209229842,1,,,,,,,Liberal
86344211,1,,,,,,,Liberal
71049747,1,,,,,,,Liberal
78357013,1,,,,,,,Liberal
1321074483290144770,1,,,,,,,Liberal
82149920,1,,,,,,,Liberal
472212001,1,,,,,,,Liberal
1395573282,1,,,,,,,Liberal
2889433635,1,,,,,,,Liberal
2960425510,1,,,,,,,Liberal
2829984303,1,,,,,,,Liberal
16982577,1,,,,,,,Liberal
275210802,1,,,,,,,Liberal
4396958260,1,,,,,,,Liberal
3733430840,1,,,,,,,Liberal
545727034,1,,,,,,,Liberal
36446781,1,,,,,,,Liberal
293880381,1,,,,,,,Liberal
18776647,1,,,,,,,Liberal
1213932116,1,,,,,,,Liberal
2293400150,1,,,,,,,Liberal
1388126808,1,,,,,,,Liberal
1432822363,1,,,,,,,Liberal
22446684,1,,,,,,,Liberal
14975580,1,,,,,,,Liberal
278528608,1,,,,,,,Liberal
624681580,1,,,,,,,Liberal
534561391,1,,,,,,,Liberal
563978872,1,,,,,,,Liberal
1009255038,1,,,,,,,Liberal
317907582,1,,,,,,,Liberal
1445905244500676608,1,,,,,,,Liberal
1399195540093554688,1,,,,,,,Liberal
22176387,1,,,,,,,Liberal
1436320286958309377,1,,,,,,,Liberal
439206539,1,,,,,,,Liberal
1417305223983419394,1,,,,,,,Liberal
836569810691575810,1,,,,,,,Liberal
96281231,1,,,,,,,Liberal
1447502440820002819,1,,,,,,,Liberal
184861330,1,,,,,,,Liberal
570417814,1,,,,,,,Liberal
65208984,1,,,,,,,Liberal
596787864,1,,,,,,,Liberal
249012894,1,,,,,,,Liberal
332063391,1,,,,,,,Liberal
1445084795998982150,1,,,,,,,Liberal
1422563611696844806,1,,,,,,,Liberal
54837922,1,,,,,,,Liberal
3312452261,1,,,,,,,Liberal
2435064488,1,,,,,,,Liberal
1429565763401175048,1,,,,,,,Liberal
1031340716,1,,,,,,,Liberal
3434857138,1,,,,,,,Liberal
81470134,1,,,,,,,Liberal
38937272,1,,,,,,,Liberal
12804792,1,,,,,,,Liberal
1166197440,1,,,,,,,Liberal
2684150467,1,,,,,,,Liberal
407372483,1,,,,,,,Liberal
55468747,1,,,,,,,Liberal
110396108,1,,,,,,,Liberal
1269990092,1,,,,,,,Liberal
74883793,1,,,,,,,Liberal
16958167,1,,,,,,,Liberal
817636056,1,,,,,,,Liberal
2846663385,1,,,,,,,Liberal
483451607,1,,,,,,,Liberal
3314500315,1,,,,,,,Liberal
743891682,1,,,,,,,Liberal
2875818725,1,,,,,,,Liberal
446268135,1,,,,,,,Liberal
860021480,1,,,,,,,Liberal
2321539819,1,,,,,,,Liberal
16892654,1,,,,,,,Liberal
197477112,1,,,,,,,Liberal
387818233,1,,,,,,,Liberal
2297823997,1,,,,,,,Liberal
22233855,1,,,,,,,Liberal
3750904576,1,,,,,,,Liberal
1162280883316875264,1,,,,,,,Liberal
1397416943875809280,1,,,,,,,Liberal
1376880458055573504,1,,,,,,,Liberal
4393812736,1,,,,,,,Liberal
1357834420732846080,1,,,,,,,Liberal
1353317819245420544,1,,,,,,,Liberal
1238612328087576576,1,,,,,,,Liberal
1211315075681640448,1,,,,,,,Liberal
1209617399739080704,1,,,,,,,Liberal
1204374981359984640,1,,,,,,,Liberal
1147209629895516161,1,,,,,,,Liberal
1511621388,1,,,,,,,Liberal
33047300,1,,,,,,,Liberal
216990477,1,,,,,,,Liberal
108069639,1,,,,,,,Liberal
1113219848,1,,,,,,,Liberal
23962378,1,,,,,,,Liberal
15827727,1,,,,,,,Liberal
1278213921468342275,1,,,,,,,Liberal
4685693714,1,,,,,,,Liberal
1343062806,1,,,,,,,Liberal
1380753357296394245,1,,,,,,,Liberal
1151632154,1,,,,,,,Liberal
722527003,1,,,,,,,Liberal
497484572,1,,,,,,,Liberal
3115467549,1,,,,,,,Liberal
1442076364501180423,1,,,,,,,Liberal
384516903,1,,,,,,,Liberal
20570921,1,,,,,,,Liberal
2340455210,1,,,,,,,Liberal
272180018,1,,,,,,,Liberal
48079678,1,,,,,,,Liberal
393003839,1,,,,,,,Liberal
291947329,1,,,,,,,Liberal
37987143,1,,,,,,,Liberal
100459337,1,,,,,,,Liberal
589333322,1,,,,,,,Liberal
4017242955,1,,,,,,,Liberal
266904396,1,,,,,,,Liberal
22733645,1,,,,,,,Liberal
327533387,1,,,,,,,Liberal
24986447,1,,,,,,,Liberal
16229199,1,,,,,,,Liberal
3168944977,1,,,,,,,Liberal
143303507,1,,,,,,,Liberal
30679892,1,,,,,,,Liberal
416719703,1,,,,,,,Liberal
2841682787,1,,,,,,,Liberal
171115367,1,,,TerryDuguid,Terry,Duguid,Liberal,Liberal
190948207,1,,,,,,,Liberal
3536757616,1,,,,,,,Liberal
1417651057,1,,,,,,,Liberal
28566386,1,,,,,,,Liberal
372638581,1,,,,,,,Liberal
868664184,1,,,,,,,Liberal
928260986,1,,,,,,,Liberal
25813888,1,,,,,,Activist Organization,Liberal
792395212136017920,1,,,,,,,Liberal
828310819402313728,1,,,,,,,Liberal
2748908419,1,,,,,,,Liberal
188162948,1,,,,,,,Liberal
788060647401615360,1,,,,,,,Liberal
776959799871303681,1,,,,,,,Liberal
793793795997462528,1,,,,,,,Liberal
214213512,1,,,,,,,Liberal
788130042882715649,1,,,,,,,Liberal
2350842762,1,,,,,,,Liberal
841033630050840577,1,,,,,,,Liberal
42247052,1,,,,,,,Liberal
42271645,1,,,,,,,Liberal
1381876639,1,,,,,,,Liberal
40379301,1,,,,,,,Liberal
23520166,1,,,,,,,Liberal
1654195111,1,,,,,,,Liberal
260907949,1,,,,,,,Liberal
81183666,1,,,,,,,Liberal
1156724767820529664,1,,,,,,,Liberal
1163554169548095488,1,,,,,,,Liberal
4859634618,1,,,,,,,Liberal
19006397,1,,,,,,,Liberal
3375072193,1,,,,,,,Liberal
2821702594,1,,,,,,,Liberal
1038828488,1,,,,,,,Liberal
952509391,1,,,,,,,Liberal
1166069236571226113,1,,,,,,,Liberal
353379283,1,,,,,,,Liberal
23946202,1,,,,,,,Liberal
218325978,1,,,,,,,Liberal
125322205,1,,,,,,,Liberal
2610160608,1,,,,,,,Liberal
270681057,1,,,,,,,Liberal
2997232612,1,,,,,,,Liberal
2978915301,1,,,,,,,Liberal
2193187815,1,,,,,,,Liberal
2678072299,1,,,TimLouisKitCon,Tim,Louis,Liberal,Liberal
16180205,1,,,JoyceMurray,Joyce,Murray,Liberal,Liberal
1106068465,1,,,,,,,Liberal
363070453,1,,,,,,,Liberal
4763263992,1,,,,,,,Liberal
74753016,1,,,,,,,Liberal
120136701,1,,,,,,,Liberal
357958653,1,,,,,,,Liberal
519750654,1,,,,,,,Liberal
473531392,1,,,,,,,Liberal
282526718,1,,,SvenTrueNorth,Sven,Spengemann,Liberal,Liberal
723146471273431040,1,,,,,,,Liberal
735561897479536640,1,,,,,,,Liberal
90743813,1,,,,,,,Liberal
2577417224,1,,,,,,,Liberal
352797710,1,,,,,,,Liberal
237536271,1,,,,,,,Liberal
29017104,1,,,,,,,Liberal
17818646,1,,,,,,,Liberal
1022624791,1,,,,,,,Liberal
154690587,1,,,,,,,Liberal
116679707,1,,,,,,,Liberal
834519511009091584,1,,,,,,,Liberal
2198725662,1,,,,,,,Liberal
2227397665,1,,,,,,,Liberal
3691095076,1,,,,,,,Liberal
32244772,1,,,,,,,Liberal
2746778662,1,,,,,,,Liberal
1368556596,1,,,,,,,Liberal
89760824,1,,,,,,,Liberal
2356511802,1,,,,,,,Liberal
2553128006,1,,,,,,,Liberal
2810340435,1,,,,,,,Liberal
250348629,1,,,,,,,Liberal
2994807895,1,,,,,,,Liberal
332031063,1,,,,,,,Liberal
94159959,1,,,,,,,Liberal
1653056605,1,,,,,,,Liberal
2786190433,1,,,,,,,Liberal
246948963,1,,,,,,,Liberal
25289829,1,,,,,,,Liberal
214492262,1,,,,,,,Liberal
1730897000,1,,,,,,,Liberal
32212073,1,,,,,,,Liberal
292480113,1,,,,,,,Liberal
105784443,1,,,,,,,Liberal
2937275517,1,,,,,,,Liberal
3237987454,1,,,,,,,Liberal
41297024,1,,,,,,,Liberal
2885608576,1,,,,,,,Liberal
2802164864,1,,,,,,,Liberal
1227962762233548800,1,,,,,,,Liberal
1335362690,1,,,,,,,Liberal
1150176744177045504,1,,,,,,,Liberal
1138460564873711616,1,,,,,,,Liberal
1093852516700295168,1,,,,,,,Liberal
911059664497971200,1,,,,,,,Liberal
166790278,1,,,,,,,Liberal
1303704709123969024,1,,,,,,,Liberal
126346375,1,,,,,,,Liberal
1106035116437049345,1,,,,,,,Liberal
1086080597485850625,1,,,,,,,Liberal
916458827087777793,1,,,,,,,Liberal
20382860,1,,,,,,,Liberal
621249680,1,,,,,,,Liberal
1068918623778017282,1,,,,,,,Liberal
1291531291066798083,1,,,,,,,Liberal
1187143366921850883,1,,,,,,,Liberal
276243604,1,,,,,,,Liberal
1122821269,1,,,,,,,Liberal
298321046,1,,,,,,,Liberal
601285783,1,,,,,,,Liberal
2837030041,1,,,,,,,Liberal
1147646449796157445,1,,,,,,,Liberal
955886730237874181,1,,,,,,,Liberal
1300174465758826501,1,,,,,,,Liberal
78103711,1,,,,,,,Liberal
357139615,1,,,,,,,Liberal
9946272,1,,,,,,,Liberal
2880799905,1,,,,,,,Liberal
2499765411,1,,,,,,,Liberal
38880420,1,,,,,,,Liberal
1289200813,1,,,,,,,Liberal
2515879086,1,,,,,,,Liberal
91481264,1,,,,,,,Liberal
1115743411,1,,,,,,,Liberal
1373611190,1,,,,,,,Liberal
28116153,1,,,,,,,Liberal
16213179,1,,,,,,,Liberal
1070982332,1,,,,,,,Liberal
32908477,1,,,,,,,Liberal
3294127299,1,,,,,,,Liberal
15557829,1,,,,,,,Liberal
2981594310,1,,,,,,,Liberal
1527907526,1,,,,,,,Liberal
3044664527,1,,,,,,,Liberal
86861008,1,,,,,,,Liberal
1898718420,1,,,,,,,Liberal
325928151,1,,,,,,,Liberal
60597469,1,,,,,,,Liberal
2817115358,1,,,,,,,Liberal
2330690786,1,,,,,,,Liberal
14050532,1,,,,,,,Liberal
1000072428,1,,,,,,,Liberal
17204460,1,,,,,,,Liberal
1132266740,1,,,,,,,Liberal
143107317,1,,,,,,,Liberal
38520056,1,,,,,,,Liberal
745680473284714496,1,,,,,,,Liberal
806662692404502528,1,,,,,,,Liberal
824825637676294144,1,,,,,,,Liberal
738194465840472064,1,,,,,,,Liberal
807787995940036608,1,,,,,,,Liberal
799925399241097216,1,,,,,,,Liberal
723258780163547137,1,,,,,,,Liberal
771414505276309504,1,,,,,,,Liberal
2322580746,1,,,jimcarr_wpg,Jim,Carr,Liberal,Liberal
827073805,1,,,,,,,Liberal
23381262,1,,,,,,,Liberal
472515859,1,,,,,,,Liberal
161269013,1,,,,,,,Liberal
479135002,1,,,,,,,Liberal
257811744,1,,,,,,,Liberal
439108899,1,,,,,,,Liberal
148489517,1,,,,,,,Liberal
16229679,1,,,,,,,Liberal
703481138,1,,,,,,,Liberal
33359155,1,,,,,,,Liberal
2579359027,1,,,,,,,Liberal
608732471,1,,,,,,,Liberal
431744330,1,,,,,,,Liberal
67044683,1,,,,,,,Liberal
14411084,1,,,,,,,Liberal
29140306,1,,,,,,,Liberal
19203412,1,,,,,,,Liberal
164824407,1,,,,,,,Liberal
3087508827,1,,,,,,,Liberal
29222237,1,,,,,,,Liberal
922207584,1,,,,,,,Liberal
79709538,1,,,,,,,Liberal
1239205219,1,,,,,,,Liberal
3324151143,1,,,,,,,Liberal
436077930,1,,,,,,,Liberal
773752172,1,,,,,,,Liberal
3452609901,1,,,,,,,Liberal
2536457582,1,,,,,,,Liberal
3133023601,1,,,,,,,Liberal
2310571382,1,,,,,,,Liberal
29754743,1,,,mary_ng,Mary,Ng,Liberal,Liberal
167191931,1,,,,,,,Liberal
2179048830,1,,,,,,,Liberal
2558166399,1,,,,,,,Liberal
3222365568,1,,,,,,,Liberal
1182391737970503680,1,,,,,,,Liberal
1078044289454747648,1,,,,,,,Liberal
1217988048744525824,1,,,,,,,Liberal
1106884731621257216,1,,,,,,,Liberal
910601686573559808,1,,,,,,,Liberal
900730131660058625,1,,,,,,,Liberal
1281736585386569729,1,,,,,,,Liberal
1225141644414025728,1,,,,,,,Liberal
1051169034539020289,1,,,,,,,Liberal
1314978645635629056,1,,,,,,,Liberal
1074091746521427969,1,,,,,,,Liberal
961678255450357760,1,,,,,,,Liberal
1024105935680221185,1,,,,,,,Liberal
1304846484249161729,1,,,,,,,Liberal
852919543630573569,1,,,,,,,Liberal
1154882171515088898,1,,,,,,,Liberal
1288514327213944834,1,,,,,,,Liberal
1257065247908737026,1,,,,,,,Liberal
967722732090732546,1,,,,,,,Liberal
66119059,1,,,,,,,Liberal
245687693,1,,,,,,,Liberal
1039315357004115971,1,,,,,,,Liberal
191677847,1,,,,,,,Liberal
904873755125657604,1,,,,,,,Liberal
244196762,1,,,,,,,Liberal
190055835,1,,,,,,,Liberal
1084941903165042693,1,,,,,,,Liberal
545801629,1,,,,,,,Liberal
1111464955633643525,1,,,,,,,Liberal
915335994785792001,1,,,,,,,Liberal
1268326754084585473,1,,,,,,,Liberal
992455366502952966,1,,,,,,,Liberal
16958880,1,,,,,,,Liberal
100812193,1,,,,,,,Liberal
1545053600,1,,,,,,,Liberal
937787097120899073,1,,,,,,,Liberal
112903588,1,,,,,,,Liberal
918870668346785793,1,,,,,,,Liberal
760495795288276993,1,,,,,,,Liberal
131220911,1,,,,,,,Liberal
33908144,1,,,,,,,Liberal
2474878388,1,,,,,,,Liberal
193471925,1,,,,,,,Liberal
2329404853,1,,,,,,,Liberal
1483720117,1,,,,,,,Liberal
404874684,1,,,,,,,Liberal
114042301,1,,,,,,,Liberal
112608701,1,,,,,,,Liberal
17622465,1,,,,,,,Liberal
123110855,1,,,,,,,Liberal
27706824,1,,,,,,,Liberal
2310972873,1,,,,,,,Liberal
4832314828,1,,,,,,,Liberal
459900383,1,,,,,,,Liberal
1268868582,1,,,,,,,Liberal
419972588,1,,,,,,,Liberal
28001773,1,,,,,,,Liberal
141116912,1,,,,,,,Liberal
36775409,1,,,,,,,Liberal
2789770741,1,,,darrellsamson,Darrell,Samson,Liberal,Liberal
172901879,1,,,,,,,Liberal
518931960,1,,,,,,,Liberal
3395470841,1,,,,,,,Liberal
274220538,1,,,,,,,Liberal
241640955,1,,,,,,,Liberal
988393705324199936,1,,,,,,,Liberal
1096878973567418368,1,,,,,,,Liberal
1034295964582854656,1,,,,,,,Liberal
1042860496892772352,1,,,,,,,Liberal
1217601646521270272,1,,,,,,,Liberal
865232482307719168,1,,,,,,,Liberal
1171277462770073600,1,,,,,,,Liberal
1046476783636234240,1,,,,,,,Liberal
1021254438462210048,1,,,,,,,Liberal
425698825,1,,,,,,,Liberal
1177284937537339393,1,,,,,,,Liberal
1252868601465323522,1,,,,,,,Liberal
1115680256742965249,1,,,,,,,Liberal
1042586234193756161,1,,,,,,,Liberal
1222274097935073281,1,,,,,,,Liberal
1163650572,1,,,,,,,Liberal
2750711313,1,,,,,,,Liberal
156821005,1,,,,,,,Liberal
21235215,1,,,,,,,Liberal
17688080,1,,,,,,,Liberal
868435476,1,,,,,,,Liberal
40486417,1,,,,,,,Liberal
242705938,1,,,,,,,Liberal
27543057,1,,,,,,,Liberal
217548314,1,,,,,,,Liberal
1302143403736481797,1,,,,,,,Liberal
1290301285728567302,1,,,,,,,Liberal
381642280,1,,,,,,,Liberal
1000121898,1,,,,,,,Liberal
20530732,1,,,,,,,Liberal
17901103,1,,,,,,,Liberal
33080879,1,,,,,,,Liberal
2460632635,1,,,,,,,Liberal
494683709,1,,,,,,,Liberal
61400647,1,,,,,,,Liberal
3138897481,1,,,,,,,Liberal
147285577,1,,,,,,,Liberal
143296074,1,,,,,,,Liberal
28321355,1,,,,,,,Liberal
832706277310595072,1,,,,,,,Liberal
30238286,1,,,,,,,Liberal
236471892,1,,,,,,,Liberal
445580884,1,,,,,,,Liberal
73606743,1,,,,,,,Liberal
3236292185,1,,,,,,,Liberal
901113440,1,,,,,,,Liberal
447637089,1,,,,,,,Liberal
607348321,1,,,,,,,Liberal
88385127,1,,,,,,,Liberal
294405740,1,,,,,,,Liberal
406742639,1,,,,,,,Liberal
63538801,1,,,,,,,Liberal
