id, community
1009785173011988480,1
1342125115383939073,1
1425866189780160514,1
1125543746697924609,1
1066847336050147329,1
1279885961841819649,1
2363571329,1
1251518605600206850,1
195049872,1
2797134487,1
197607704,1
998328097,1
115587493,1
3025416359,1
559023147,1
154915250,1
105975090,1
2801095093,1
242506295,1
16014404,1
3578717895,1
129863114,1
215423949,1
54034509,1
2693735376,1
4104867797,1
261772246,1
578590553,1
2530008414,1
1707025764,1
479088229,1
599677550,1
182401775,1
2369459569,1
24990450,1
2975160689,1
92821882,1
273262205,1
2242940071,2
1223950760,2
16272844,2
339752726,2
276713213,2
1303704709123969024,3
214492262,3
40550119,3
2242940071,3
1223950760,3
16272844,3
1646334073,3
1335433670019059712,4
989311745100566529,4
1178019071821877250,4
1440509126216347656,4
300313868,4
184853651,4
1722999380,4
739149720,4
2911660443,4
943174774154498048,5
1324786872913113090,5
1440509126216347656,5
36133644,5
252636557,5
414218319,5
412708728,5
20478618,5
268832287,5
45848808,6
16272844,6
276713213,6
488052222,6
22849568,7
1318671397560979456,7
1303704709123969024,7
240786249,7
16272844,7
341866567,8
16422863,8
175259033,8
297020666,8
196717787,8
37552089,8
215632349,8
255067647,8
