,Source Comm Interaction Count,Target Comm Interaction Count,Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon,id,community
3890,0.0,,3140773734,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,3140773734,NDP
3891,0.0,,588752886,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,588752886,NDP
3892,0.0,,3010963523,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,3010963523,NDP
3893,0.0,,3234318552,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,3234318552,NDP
3894,0.0,,312297721,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,312297721,NDP
3895,0.0,,86960389,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,86960389,NDP
3896,0.0,,289524112,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,289524112,NDP
3897,0.0,,51259801,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,51259801,NDP
3898,0.0,,979577244,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,979577244,NDP
3899,0.0,,991077333174927360,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,991077333174927360,NDP
3900,0.0,,89787188,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,89787188,NDP
3901,0.0,,325725115,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,325725115,NDP
3902,0.0,,3013905454,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,3013905454,NDP
3903,1.0,,272133230,,,,,,,0.0038770000000000002,107488.051695,2.0,0.000558,0.0,1,272133230,NDP
3904,0.0,,634621098,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,634621098,NDP
3905,0.0,,271756523,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,271756523,NDP
3906,0.0,,122465515,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,122465515,NDP
3907,0.0,,978655715345670144,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,978655715345670144,NDP
3908,0.0,,858003778905153536,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,858003778905153536,NDP
3909,0.0,,705007146,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,705007146,NDP
3910,0.0,,1430999852520034308,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1430999852520034308,NDP
3911,0.0,,17026781,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,17026781,NDP
3912,0.0,,107900713,,,,,,,0.0038770000000000002,96398.629338,2.0,0.000335,0.0,1,107900713,NDP
3913,0.0,,247836666,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,247836666,NDP
3914,0.0,,16240926,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,16240926,NDP
3915,0.0,,51311010,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,51311010,NDP
3916,0.0,,314127120,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,314127120,NDP
