id,communityID
1171218090346143744,1
858516791554957312,1
735561897479536640,1
977645375543705602,1
1153773604716404739,1
868217835708973058,1
1442911147456282624,1
1434746856953765888,1
1437229574694346753,1
1381917689287876608,1
1395792070523109377,1
1440017850693992452,1
1440210198975561733,1
1423784521976193031,1
1424634156496027656,1
1373635835355045898,1
1317288189439115272,1
1243888276123025423,1
1430701123514556426,1
1381363018060161034,1
1417165501009043475,1
1176572359974772749,1
86384661,1
4909203478,1
59473944,1
774316063,1
2344419362,1
21889071,1
285622334,1
24272959,1
166207562,1
39895121,1
128786520,1
900079710,1
238747752,1
26181736,1
2339733614,1
441434232,1
16564344,1
394797180,1
838084501553221634,1
775350159823736832,1
1376904980959989760,1
718593782166458368,1
739833663353917440,1
828691196310589440,1
126754950,1
761955803788087297,1
1326000340018270208,1
788952406872690689,1
170377354,1
1324869774271188994,1
1444575052872159234,1
3190218893,1
183410833,1
17391764,1
259891348,1
1445410946499874820,1
123920535,1
805101587374936068,1
114008221,1
1466130590,1
1380278410736439302,1
1378739842264207367,1
2942312619,1
518111410,1
4768334003,1
3230982326,1
266248376,1
273465530,1
32948422,1
91201741,1
1630560463,1
1431077072,1
137527508,1
17834196,1
987742428,1
115253470,1
1267982563,1
3196494064,1
121651443,1
1729978615,1
2858967288,1
286499066,1
433586429,1
703676670,1
879506869529616384,1
860391395428671489,1
785471772904660993,1
914701376906600449,1
3242606862,1
388292881,1
314032410,1
126075164,1
35709217,1
2458706217,1
3434791216,1
2842108210,1
66371891,1
1935335732,1
1217988048744525824,1
886811694353264640,1
47956279,1
292053307,1
1439990076,1
188637506,1
108912964,1
161562952,1
1074091746521427969,1
976879301302857729,1
2555150671,1
1161773396,1
156025186,1
1354514791,1
360677740,1
60637549,1
2328551789,1
1224753522,1
89309555,1
1490829685,1
964952442,1
2246861179,1
838963324113006592,1
744595917790130176,1
1319308147165638656,1
1337978463446249473,1
96027015,1
1346618752134164481,1
4230168979,1
631988630,1
1368498204879114240,1
