id,comms,dup,_merge
1109405647366426624,1,False,left_only
1162219997977960449,1,False,left_only
985570002131550208,1,False,left_only
1387143248465047554,1,False,left_only
1427258589077508100,1,False,left_only
1006186075390439424,1,False,left_only
919548186590621696,1,False,left_only
1144289639924207616,1,False,left_only
1170770038208565248,1,False,left_only
1143342270399373313,1,False,left_only
22501387,1,False,left_only
1339638313637036039,1,False,left_only
1159457355295338500,1,False,left_only
796839329368866817,1,False,left_only
1042586234193756161,1,False,left_only
1378739842264207367,1,False,left_only
1370830299072987139,1,False,left_only
1055935247567781890,1,False,left_only
1115838887623122954,1,False,left_only
282526718,1,False,left_only
2198725662,1,False,left_only
22849568,1,False,left_only
2983179809,1,False,left_only
2344419362,1,False,left_only
265743906,1,False,left_only
32244772,1,False,left_only
1185531782952816640,1,False,left_only
20530732,1,False,left_only
205786669,1,False,left_only
2909908526,1,False,left_only
90680886,1,False,left_only
283226685,1,False,left_only
494683709,1,False,left_only
1295456970049118208,1,False,left_only
609432652,1,False,left_only
109375565,1,False,left_only
1072270926,1,False,left_only
1467415686,1,False,left_only
19634262,1,False,left_only
2448438361,1,False,left_only
1080999330461343744,1,False,left_only
234550882,1,False,left_only
802034597567598593,1,False,left_only
246948963,1,False,left_only
214492262,1,False,left_only
278260840,1,False,left_only
249196138,1,False,left_only
2229187188,1,False,left_only
783393750454198273,1,False,left_only
1646334073,1,False,left_only
235355769,1,False,left_only
3237987454,1,False,left_only
292468351,1,False,left_only
983875620194013184,1,False,left_only
1318671397560979456,1,False,left_only
823056541729296384,1,False,left_only
1380182085906862080,1,False,left_only
21499014,1,False,left_only
1327928839847219201,1,False,left_only
1213405462021853185,1,False,left_only
1117616102442455041,1,False,left_only
1439018845218361345,1,False,left_only
1049430977142018050,1,False,left_only
913149899016933377,1,False,left_only
1134206161555787778,1,False,left_only
61521038,1,False,left_only
116808839,1,False,left_only
1291531291066798083,1,False,left_only
1295049234312581121,1,False,left_only
123920535,1,False,left_only
596787864,1,False,left_only
1411895114004238342,1,False,left_only
749515428,1,False,left_only
1436184229,1,False,left_only
843912870,1,False,left_only
2242940071,1,False,left_only
38880420,1,False,left_only
925220521,1,False,left_only
2148927146,1,False,left_only
327244966,1,False,left_only
335769776,1,False,left_only
2937436849,1,False,left_only
107886768,1,False,left_only
48035511,1,False,left_only
