,0
1385933370090209280,0.0
158095776,0.0
1416535505454338050,0.0
544695802,0.0
716257068538327040,0.0
258170457,0.0
2817389862,0.0
822476228548403200,0.0
2353730881,0.0
921026239808208896,0.0
720934098223542272,0.0
2922779039,0.0
552891173,0.0
982496635,0.0
1433403537329819654,0.0
1175052073605353473,0.0
2784661153,0.0
102887506,0.0
18681111,0.0
952980338745147394,0.0
1438871779779530755,0.0
46975259,0.0
1157395568135557120,0.0
563064119,0.0
979827806023618560,0.0
18308257,0.0
846667915,0.0
258916078,0.0
1138564320390836224,0.0
17912334,0.0
2821464243,0.0
928790819145842688,0.0
753638148958216192,0.0
2256955027,0.0
1185936230393024512,0.0
3021899490,0.0
13880132,0.0
960624707820113920,0.0
52003137,0.0
1887595058,0.0
331864347,0.0
961514730,0.0
70750793,0.0
155629527,0.0
1161351506983038976,0.0
766360387,0.0
150270263,74.0
38471212,0.0
83153695,0.0
118937966,0.0
871189841186357248,0.0
293403080,0.0
629539554,0.0
1104422828,0.0
602083976,0.0
1311896805920043009,0.0
1318741345905922048,0.0
25314619,0.0
104300984,0.0
15702055,0.0
1153463878195589125,0.0
15633240,0.0
14991184,0.0
1242522201770856449,0.0
1440522413687521295,0.0
106524304,0.0
1292608204845834241,0.0
1446846657551683588,0.0
1389700907697270787,0.0
1445880242707570691,0.0
1545912997,0.0
831084798621782016,0.0
55976571,0.0
305401065,0.0
704798725747531776,0.0
4744498950,0.0
766759351973404672,0.0
47781573,0.0
994077337,0.0
14055736,0.0
1236010900693356549,0.0
1171683272,0.0
1338338931792756737,0.0
562243642,0.0
15772683,0.0
1251340447387172868,0.0
1350484767255519233,0.0
1335046616697372675,0.0
20750271,0.0
130909683,0.0
1364261390614106113,0.0
44416854,0.0
1511003670,0.0
536594609,0.0
273683993,0.0
1156602559378804741,0.0
1156033982586208256,0.0
139819609,0.0
413514250,0.0
1189800120,0.0
138418077,0.0
382489139,0.0
374300583,0.0
3226840807,0.0
133863908,0.0
57127265,0.0
142731825,0.0
1417929933800751104,0.0
55823004,0.0
1447315781289750532,0.0
14262411,0.0
845487573011173380,0.0
109144163,0.0
785448020628430849,0.0
77283552,0.0
38055290,0.0
34506336,0.0
242798024,0.0
138077463,0.0
18519855,0.0
268824309,0.0
2439928526,0.0
1169378542737661954,0.0
299228245,0.0
2369365718,0.0
1373493122,0.0
2834753506,0.0
999476893970763777,0.0
120320139,0.0
84734389,0.0
15407637,0.0
1301967293849755653,0.0
324602007,0.0
292667439,0.0
522345885,0.0
12599562,0.0
4856851754,0.0
1248842158553141250,0.0
3303438653,0.0
1129203001,0.0
2813664079,0.0
14518712,0.0
95209129,0.0
119797208,0.0
201984482,0.0
17105128,0.0
3409346380,0.0
33826892,0.0
273866823,0.0
37552089,0.0
262436837,0.0
1092244447184719873,0.0
2548489298,0.0
516915897,0.0
965028316460797953,0.0
195899568,0.0
2432750568,0.0
331067472,0.0
272133230,0.0
964446120402300928,0.0
1573418346,0.0
89496127,0.0
735508941258399744,0.0
542244178,0.0
1005899772916477952,0.0
366171300,0.0
29545977,6.0
965478102594863104,0.0
