,0
1385933370090209280,4.8097839432239387e-20
158095776,3.121549779152327e-17
1416535505454338050,4.8097839432239387e-20
544695802,4.8097839432239387e-20
716257068538327040,4.8097839432239387e-20
258170457,4.8097839432239387e-20
2817389862,4.8097839432239387e-20
822476228548403200,4.8097839432239387e-20
2353730881,4.8097839432239387e-20
921026239808208896,4.8097839432239387e-20
720934098223542272,4.8097839432239387e-20
2922779039,4.8097839432239387e-20
552891173,4.8097839432239387e-20
982496635,4.8097839432239387e-20
1433403537329819654,4.8097839432239387e-20
1175052073605353473,4.8097839432239387e-20
2784661153,4.8097839432239387e-20
102887506,4.8097839432239387e-20
18681111,1.7129420241879387e-14
952980338745147394,4.8097839432239387e-20
1438871779779530755,4.8097839432239387e-20
46975259,4.8097839432239387e-20
1157395568135557120,4.8097839432239387e-20
563064119,4.8097839432239387e-20
979827806023618560,4.8097839432239387e-20
18308257,4.8097839432239387e-20
846667915,4.8097839432239387e-20
258916078,4.8097839432239387e-20
1138564320390836224,4.8097839432239387e-20
17912334,4.8097839432239387e-20
2821464243,4.8097839432239387e-20
928790819145842688,4.8097839432239387e-20
753638148958216192,4.8097839432239387e-20
2256955027,4.8097839432239387e-20
1185936230393024512,4.8097839432239387e-20
3021899490,4.8097839432239387e-20
13880132,4.8097839432239387e-20
960624707820113920,4.8097839432239387e-20
52003137,4.8097839432239387e-20
1887595058,4.8097839432239387e-20
331864347,4.8097839432239387e-20
961514730,4.8097839432239387e-20
70750793,4.8097839432239387e-20
155629527,4.8097839432239387e-20
1161351506983038976,4.8097839432239387e-20
766360387,4.8097839432239387e-20
150270263,1.4761707900148712e-15
38471212,4.8097839432239387e-20
83153695,4.8097839432239387e-20
118937966,4.8097839432239387e-20
871189841186357248,4.8097839432239387e-20
293403080,4.8097839432239387e-20
629539554,4.8097839432239387e-20
1104422828,4.8097839432239387e-20
602083976,4.8097839432239387e-20
1311896805920043009,4.8097839432239387e-20
1318741345905922048,4.8097839432239387e-20
25314619,4.8097839432239387e-20
104300984,4.8097839432239387e-20
15702055,4.8097839432239387e-20
1153463878195589125,4.8097839432239387e-20
15633240,4.8097839432239387e-20
14991184,4.8097839432239387e-20
1242522201770856449,4.8097839432239387e-20
1440522413687521295,4.8097839432239387e-20
106524304,6.930898662185728e-17
1292608204845834241,4.8097839432239387e-20
1446846657551683588,4.8097839432239387e-20
1389700907697270787,4.8097839432239387e-20
1445880242707570691,4.8097839432239387e-20
1545912997,4.8097839432239387e-20
831084798621782016,4.8097839432239387e-20
55976571,4.8097839432239387e-20
305401065,4.8097839432239387e-20
704798725747531776,4.8097839432239387e-20
4744498950,4.8097839432239387e-20
766759351973404672,4.8097839432239387e-20
47781573,4.8097839432239387e-20
994077337,4.8097839432239387e-20
14055736,4.8097839432239387e-20
1236010900693356549,4.8097839432239387e-20
1171683272,4.8097839432239387e-20
1338338931792756737,4.8097839432239387e-20
562243642,4.8097839432239387e-20
15772683,4.8097839432239387e-20
1251340447387172868,4.8097839432239387e-20
1350484767255519233,4.8097839432239387e-20
1335046616697372675,4.8097839432239387e-20
20750271,4.8097839432239387e-20
130909683,4.8097839432239387e-20
1364261390614106113,4.8097839432239387e-20
44416854,4.8097839432239387e-20
1511003670,4.8097839432239387e-20
536594609,4.8097839432239387e-20
273683993,4.8097839432239387e-20
1156602559378804741,4.8097839432239387e-20
1156033982586208256,4.8097839432239387e-20
139819609,4.8097839432239387e-20
413514250,4.8097839432239387e-20
1189800120,4.8097839432239387e-20
138418077,4.8097839432239387e-20
382489139,4.8097839432239387e-20
374300583,4.8097839432239387e-20
3226840807,4.8097839432239387e-20
133863908,4.8097839432239387e-20
57127265,4.8097839432239387e-20
142731825,8.705708937235322e-18
1417929933800751104,4.8097839432239387e-20
55823004,4.8097839432239387e-20
1447315781289750532,4.8097839432239387e-20
14262411,4.8097839432239387e-20
845487573011173380,4.8097839432239387e-20
109144163,5.718833108493262e-17
785448020628430849,4.8097839432239387e-20
77283552,4.8097839432239387e-20
38055290,4.8097839432239387e-20
34506336,4.8097839432239387e-20
242798024,4.8097839432239387e-20
138077463,4.8097839432239387e-20
18519855,4.8097839432239387e-20
268824309,4.8097839432239387e-20
2439928526,4.8097839432239387e-20
1169378542737661954,4.8097839432239387e-20
299228245,4.8097839432239387e-20
2369365718,4.8097839432239387e-20
1373493122,4.8097839432239387e-20
2834753506,4.8097839432239387e-20
999476893970763777,4.8097839432239387e-20
120320139,4.8097839432239387e-20
84734389,4.8097839432239387e-20
15407637,4.8097839432239387e-20
1301967293849755653,4.8097839432239387e-20
324602007,4.8097839432239387e-20
292667439,4.8097839432239387e-20
522345885,4.8097839432239387e-20
12599562,4.8097839432239387e-20
4856851754,4.8097839432239387e-20
1248842158553141250,4.8097839432239387e-20
3303438653,4.8097839432239387e-20
1129203001,4.8097839432239387e-20
2813664079,4.8097839432239387e-20
14518712,4.8097839432239387e-20
95209129,4.8097839432239387e-20
119797208,4.8097839432239387e-20
201984482,4.8097839432239387e-20
17105128,4.8097839432239387e-20
3409346380,3.294702001108394e-17
33826892,4.8097839432239387e-20
273866823,4.8097839432239387e-20
37552089,4.8097839432239387e-20
262436837,4.8097839432239387e-20
1092244447184719873,4.8097839432239387e-20
2548489298,4.8097839432239387e-20
516915897,4.8097839432239387e-20
965028316460797953,4.8097839432239387e-20
195899568,4.8097839432239387e-20
2432750568,4.8097839432239387e-20
331067472,4.8097839432239387e-20
272133230,4.8097839432239387e-20
964446120402300928,4.8097839432239387e-20
1573418346,4.8097839432239387e-20
89496127,4.8097839432239387e-20
735508941258399744,4.8097839432239387e-20
542244178,4.8097839432239387e-20
1005899772916477952,4.8097839432239387e-20
366171300,4.8097839432239387e-20
29545977,1.2168753376356576e-17
965478102594863104,4.8097839432239387e-20
393713239,4.8097839432239387e-20
1185972487538040832,4.8097839432239387e-20
889661863100907520,4.8097839432239387e-20
2813399220,4.8097839432239387e-20
2436061363,4.8097839432239387e-20
17900758,4.8097839432239387e-20
59686058,2.312063141507745e-16
1009115210546929664,4.8097839432239387e-20
3148281878,4.8097839432239387e-20
1064964294448750595,4.8097839432239387e-20
814289414,4.8097839432239387e-20
2896012540,4.8097839432239387e-20
1280589273335500801,4.8097839432239387e-20
1227766472921014272,4.8097839432239387e-20
869639001400942592,4.8097839432239387e-20
116679707,4.8097839432239387e-20
342176065,4.8097839432239387e-20
1890389540,4.8097839432239387e-20
2785990732,4.8097839432239387e-20
40591485,4.8097839432239387e-20
3191905064,4.8097839432239387e-20
237536271,4.8097839432239387e-20
16982577,4.8097839432239387e-20
1563418116,4.8097839432239387e-20
2580573206,4.8097839432239387e-20
275979196,4.8097839432239387e-20
193471925,4.8097839432239387e-20
53772503,4.8097839432239387e-20
16195103,4.8097839432239387e-20
2776775090,4.8097839432239387e-20
998590102573023232,4.8097839432239387e-20
179129165,4.8097839432239387e-20
27101995,4.8097839432239387e-20
872156101,4.8097839432239387e-20
128908662,4.8097839432239387e-20
363070453,4.8097839432239387e-20
21221149,4.8097839432239387e-20
507802048,4.8097839432239387e-20
190231473,4.8097839432239387e-20
993705834470367232,4.8097839432239387e-20
1362286033,4.8097839432239387e-20
3079986094,4.8097839432239387e-20
17280115,4.8097839432239387e-20
274220538,4.8097839432239387e-20
25813888,8.14296421587818e-17
51184630,4.8097839432239387e-20
108413104,2.4289408913280807e-17
908811901,4.8097839432239387e-20
408526152,4.8097839432239387e-20
371447080,4.8097839432239387e-20
2314531026,4.8097839432239387e-20
1172199939243425792,4.8097839432239387e-20
390392773,4.8097839432239387e-20
2289973748,4.8097839432239387e-20
495066576,4.8097839432239387e-20
1545053600,4.8097839432239387e-20
103297393,4.8097839432239387e-20
1851634098,4.8097839432239387e-20
398483708,4.8097839432239387e-20
1313212802799206406,4.8097839432239387e-20
79260190,1.0437231156795945e-17
27652488,4.8097839432239387e-20
89609585,4.8097839432239387e-20
44618408,4.8097839432239387e-20
880491635896922112,4.8097839432239387e-20
2761710808,4.8097839432239387e-20
1240867313445830656,4.8097839432239387e-20
247412217,8.705708937235322e-18
1347654502787076096,4.8097839432239387e-20
982630470008553474,4.8097839432239387e-20
82167100,4.8097839432239387e-20
110754237,4.8097839432239387e-20
768069259100622848,4.8097839432239387e-20
177347829,2.2168294194318756e-16
1304210384367349770,4.8097839432239387e-20
1300291239581892609,4.8097839432239387e-20
2253903906,4.8097839432239387e-20
78403337,4.8097839432239387e-20
862703683,4.8097839432239387e-20
1071951545212723200,4.8097839432239387e-20
840470152391016448,4.8097839432239387e-20
498423001,4.8097839432239387e-20
1197522605760303104,4.8097839432239387e-20
510093784,4.8097839432239387e-20
447415943,4.8097839432239387e-20
1201788959719936007,4.8097839432239387e-20
1633538270,4.8097839432239387e-20
122525211,4.8097839432239387e-20
192842634,4.8097839432239387e-20
551152504,4.8097839432239387e-20
378351271,4.8097839432239387e-20
57033548,4.8097839432239387e-20
255067647,4.8097839432239387e-20
719557076599619584,4.8097839432239387e-20
980875592,4.8097839432239387e-20
1051100859831148544,4.8097839432239387e-20
2300474413,4.8097839432239387e-20
1238447220,4.8097839432239387e-20
994295935,4.8097839432239387e-20
838098877,4.8097839432239387e-20
829761553218072576,4.8097839432239387e-20
951280545421410305,4.8097839432239387e-20
1157684886,4.8097839432239387e-20
80970676,4.8097839432239387e-20
18923250,4.8097839432239387e-20
1136294664,4.8097839432239387e-20
951892305098788864,4.8097839432239387e-20
3010143902,4.8097839432239387e-20
297020666,4.8097839432239387e-20
1045793762063060992,4.8097839432239387e-20
98588419,4.8097839432239387e-20
76179144,4.8097839432239387e-20
46956207,4.8097839432239387e-20
819853925184638976,4.8097839432239387e-20
16552108,4.8097839432239387e-20
153515520,4.8097839432239387e-20
386330680,4.8097839432239387e-20
2736446758,4.8097839432239387e-20
35095520,4.8097839432239387e-20
1239564608941113347,4.8097839432239387e-20
58261480,4.8097839432239387e-20
169614697,4.8097839432239387e-20
1005522675761057792,4.8097839432239387e-20
816308397360508928,4.8097839432239387e-20
1407160205117435908,4.8097839432239387e-20
1175457080561537025,4.8097839432239387e-20
1011936943247101952,4.8097839432239387e-20
365078935,4.8097839432239387e-20
17540009,4.8097839432239387e-20
49660950,4.8097839432239387e-20
296549487,4.8097839432239387e-20
1228605451,4.8097839432239387e-20
1122706063466356737,4.8097839432239387e-20
234593598,4.8097839432239387e-20
1204301854433316866,4.8097839432239387e-20
1204430581410353154,4.8097839432239387e-20
893202244077854721,4.8097839432239387e-20
22971125,4.8097839432239387e-20
1193458951976869888,4.8097839432239387e-20
785853390,4.8097839432239387e-20
322106815,4.8097839432239387e-20
1957597519,4.8097839432239387e-20
1101092779378249729,4.8097839432239387e-20
3331826578,4.8097839432239387e-20
38720614,4.8097839432239387e-20
2912843536,4.8097839432239387e-20
183642459,4.8097839432239387e-20
2247495353,4.8097839432239387e-20
2748289416,4.8097839432239387e-20
2592210108,4.8097839432239387e-20
103701079,4.8097839432239387e-20
1352713370772770816,4.8097839432239387e-20
86410896,4.8097839432239387e-20
1038301598,4.8097839432239387e-20
1134248217472843787,4.8097839432239387e-20
999320625117196288,4.8097839432239387e-20
18390213,4.8097839432239387e-20
768295011007934469,4.8097839432239387e-20
1262878353431777280,4.8097839432239387e-20
729232479840800768,4.8097839432239387e-20
