,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
7974,412708728,75984040,3.0,6.0,82722.89892200001,906184.7852290001
7983,412708728,313250205,3.0,4.0,59809.868456,906184.7852290001
8095,412708728,1279885961841819649,3.0,4.0,129098.159799,906184.7852290001
8143,414218319,2275886439,3.0,4.0,19200.293649,262984.749785
8153,414218319,1090055713462865925,3.0,4.0,60837.337424,262984.749785
8160,414218319,1319082870498091008,3.0,4.0,11106.678084000001,262984.749785
8185,417389780,15677734,1.0,2.0,389040.22610100004,1143796.482785
8250,417389780,524785211,1.0,2.0,136872.403079,1143796.482785
8261,417389780,1241938664,1.0,2.0,150442.15560899998,1143796.482785
8296,417389780,853722212741898240,1.0,2.0,3090.949418,1143796.482785
8316,417389780,1180991940042661888,1.0,2.0,32843.034677999996,1143796.482785
8401,436087744,36422158,1.0,2.0,5276.871172,183392.48565
8433,475298690,48035511,2.0,1.0,33570.284126,89256.397696
8435,475298690,477503229,2.0,1.0,23686.518199000002,89256.397696
8469,488052222,788747576598069248,1.0,3.0,23006.782273,113357.74938
8495,500232993,12034642,1.0,3.0,210175.768781,76465.365939
8498,500232993,19853321,1.0,2.0,6232.599209,76465.365939
8554,524557553,2727310657,1.0,5.0,128191.067054,345801.15310500003
8622,564207331,1446352422272528385,3.0,1.0,3781095.477936,215117.371657
8648,575497430,1367155660933136384,8.0,3.0,203371.180875,216067.338809
8651,577727470,18340314,2.0,5.0,5262.025693,373590.548534
8656,577727470,83712358,2.0,5.0,5262.025693,373590.548534
8674,577727470,3153084524,2.0,5.0,5262.025693,373590.548534
8710,579377522,192775929,1.0,2.0,9096.408411,137560.41687000002
8746,593944500,201984482,1.0,2.0,8226.442046,314929.542913
8775,593944500,967837552425119744,1.0,5.0,5158.301837,314929.542913
8821,631988630,3313678069,1.0,2.0,141387.312382,352477.254002
8897,714340176,1010557821614739456,1.0,2.0,16088.614212999999,356374.513621
8910,714340176,1424060815947206662,1.0,2.0,3140.230707,356374.513621
8927,739149720,97751783,3.0,1.0,29433.974418,2776032.751543
9115,739149720,1303704709123969024,3.0,1.0,2164853.324642,2776032.751543
9159,739149720,1446352422272528385,3.0,1.0,3781095.477936,2776032.751543
9181,780323935,1229490959941017600,1.0,2.0,5276.075132999999,82674.957643
9325,1002181382,3236365296,1.0,2.0,20962.671325,331769.944498
9350,1002181382,1180991940042661888,1.0,2.0,32843.034677999996,331769.944498
9369,1072270926,80728527,1.0,2.0,29236.93916,108994.223714
9374,1072270926,302984766,1.0,2.0,57033.37171,108994.223714
9411,1278253171,1077274080984862720,3.0,2.0,13161.337256,95078.484844
9428,1283934079,1446352422272528385,3.0,1.0,3781095.477936,46832.172197
9443,1319298517,1446352422272528385,3.0,1.0,3781095.477936,84632.648213
9444,1360838234,15257975,1.0,2.0,4176.847031,175673.685617
9490,1390883714,279679549,1.0,3.0,79374.418735,274692.972884
9493,1390883714,1350110390,1.0,3.0,27583.975657,274692.972884
9504,1390883714,1008987247616512000,1.0,4.0,55649.60312000001,274692.972884
9505,1390883714,1248917771733237760,1.0,4.0,22930.033076,274692.972884
9507,1390883714,1384365976922181637,1.0,3.0,88676.276989,274692.972884
9570,1646334073,17954186,1.0,3.0,20863.315152000003,755861.3110529999
9575,1646334073,25397132,1.0,3.0,23581.632672,755861.3110529999
9580,1646334073,44361737,1.0,2.0,24710.525712,755861.3110529999
9581,1646334073,45868481,1.0,2.0,14158.244185,755861.3110529999
9582,1646334073,51075355,1.0,3.0,15085.024366999998,755861.3110529999
9625,1646334073,1180302456,1.0,3.0,15085.024366999998,755861.3110529999
9634,1646334073,2185520736,1.0,3.0,15085.024366999998,755861.3110529999
9648,1646334073,3242988211,1.0,3.0,15085.024366999998,755861.3110529999
9652,1646334073,712039917493342209,1.0,3.0,2718.31752,755861.3110529999
9656,1646334073,807818269319000064,1.0,3.0,15085.024366999998,755861.3110529999
9662,1646334073,972596838414008320,1.0,3.0,20863.315152000003,755861.3110529999
9680,1646334073,1255915694186795012,1.0,3.0,15085.024366999998,755861.3110529999
9704,1707636642,15677734,1.0,2.0,389040.22610100004,2610868.386972
9739,1707636642,165100373,1.0,4.0,581286.78602,2610868.386972
