Id, isUser
1016018605907906560,1
78627903,1
1103082890030604288,1
98449349,1
1293510025680478208,1
2462229606,1
195389487,1
1234994980076187649,1
1440509126216347656,1
2750128888,1
3242282429,1
316824802,1
1155088283916836864,1
4760139313,1
394638583,1
25040040,1
728646305946304512,1
996081618,1
15331235,1
234868050,1
2547997213,1
1411312771728171011,1
979151092691894272,1
1183161327033954304,1
564156066,1
891422779,1
176897435,1
36722950,1
1009785173011988480,1
896523848,1
264900604,1
2801095093,1
902627303913611268,1
1100840274136363009,1
2693735376,1
1251518605600206850,1
601485507,1
271136094,1
215423949,1
2377760095,1
792139214,1
1288862425861836801,1
1439240496921161733,1
1006745179,1
134876261,1
105975090,1
129863114,1
59096084,1
83610054,1
16130709,1
3011246728,1
1425887444893933577,1
1164339799,1
961562418,1
219538361,1
1055801324,1
1957288050,1
1403260119715090432,1
1232176513887305728,1
174320275,1
1023170244766883840,1
2422634642,1
155999177,1
1434567543948300290,1
215426830,1
1282959763911909376,1
433488291,1
64029992,1
1181567074084122624,1
704031546060234753,1
2871257389,1
1425939253456949252,1
733429965333520390,1
14781177,1
810501263251140612,1
634127491,1
2979044764,1
18108896,1
427814660,1
1446352422272528385,1
1295516603430273024,1
828306494156181505,1
1286836203938025472,1
3083497578,1
97709356,1
269363685,1
1141126539213340672,1
1275867029573111813,1
188123107,1
1432545138119675905,1
1017832535508815873,1
349980521,1
1012535841028075523,1
1283961213471338496,1
3150800516,1
3010165940,1
56029187,1
16272844,1
1079374636608114689,1
253276673,1
127134078,1
1109593590005723138,1
764190205133717504,1
609432652,1
796457850629279744,1
162536320,1
1108409631334793216,1
834519511009091584,1
3237987454,1
4749631173,1
820446669720276992,1
22303151,1
1454928205,1
214492262,1
1303704709123969024,1
992455366502952966,1
265419095,1
3044668917,1
1346794320867840009,1
302005426,1
20706001,1
39005511,1
775350159823736832,1
751852736,1
226456784,1
215366318,1
1105991099363975168,1
1087983274402766848,1
403336006,1
1255960012888829954,1
1426427769723015170,1
185335312,1
1223950760,1
1184307891412619264,1
89505108,1
1198941983462612993,1
2557859383,1
852919543630573569,1
509489122,1
773752172,1
1289558439052496901,1
60597469,1
425710711,1
264439847,1
596748570,1
2155133512,1
1210638105583276032,1
16397147,1
803458741,1
919548186590621696,1
1611758551,1
1475711286,1
1150773939284652032,1
202276242,1
1248311114015834112,1
1291531291066798083,1
32212073,1
2245822809,1
1300619672916824065,1
145647271,1
828691196310589440,1
71665807,1
235274745,1
184265422,1
1387143248465047554,1
758814776566816768,1
1236324668640047105,1
143449229,1
231871190,1
3163148070,1
58340767,1
112753504,1
370136239,1
946252093,1
1132266740,1
972851747294273537,1
1033285939,1
1396663298825719813,1
1380753357296394245,1
274220538,1
16564344,1
1292480797660909569,1
1154318062197207041,1
1290720051738423296,1
527802176,1
2434162616,1
1199151462745440256,1
21359391,1
275164696,1
22565926,1
327244966,1
3347624260,1
2437928781,1
2448438361,1
1320493045394116611,1
187305568,1
271989352,1
244650352,1
968892402,1
1216021034643705856,1
116273085,1
1185531782952816640,1
1431924843239260160,1
1426385959088795653,1
272626019,1
133459481,1
1282356419048734722,1
291947329,1
1109405647366426624,1
3303605923,1
2296124966,1
1533954504,1
441434232,1
828310819402313728,1
1275453229166260226,1
282164421,1
3434857138,1
292053307,1
893274928857972737,1
705023369339662336,1
43545377,1
1358458046226202624,1
3221899499,1
450289619,1
1381876639,1
18360735,1
1184231486075092992,1
25955778,1
1706203484,1
457136882,1
291336460,1
918870668346785793,1
322905972,1
16620002,1
868647363342159872,1
1729978615,1
745386523869143043,1
976078973418446848,1
107886768,1
16751932,1
1183544021626621953,1
292628540,1
265743906,1
793556717766320128,1
9876522,1
3087236264,1
131551901,1
1042586234193756161,1
575500205,1
1022319903338987520,1
1379812027116351495,1
1141578024703418368,1
494683709,1
32244772,1
928773218,1
249196138,1
17174791,1
1360345646826483717,1
2258425273,1
984195114447851522,1
42195974,1
3668254037,1
525486739,1
1347721295203590144,1
805806830496677890,1
298585000,1
637381053,1
2914036988,1
929787316838662144,1
2151229052,1
1106068465,1
372271204,1
393003839,1
514485754,1
550509554,1
798578408489963524,1
108912964,1
754108043974107137,1
261035289,1
32733503,1
282273742,1
464281578,1
2324359094,1
177651264,1
1350637053160120321,1
