Id,betweenness_centrality
1385933370090209280,0.0
1234968032734216193,0.0
952980338745147394,0.0
1239564608941113347,61503.56617651551
1251340447387172868,0.0
1102968375284776965,0.0
1313212802799206406,0.0
872885192590884865,0.0
1378797390275182600,0.0
1442893993935716361,0.0
295829514,0.0
1134248217472843787,0.0
828014604,4934.860385833868
1434279894867918850,0.0
1440522413687521295,0.0
918152297544380417,0.0
702598323958620163,0.0
775020774063116288,0.0
4909203478,0.0
59473944,0.0
341180420,0.0
917850076537552901,0.0
932785949712384000,0.0
154271777,0.0
285196322,0.0
380977188,0.0
1333910351696461830,0.0
963133478,0.0
1434884225036021762,0.0
1287540478087331841,0.0
1412813687811760135,0.0
21889071,0.0
1308716038624698376,0.0
322879541,0.0
1440848337364656137,0.0
1398407226,18.17786959179116
141787195,0.0
289406986,0.0
285622334,0.0
4101062721,0.0
1354830949494751244,0.0
3012034634,0.0
54034509,737.2982047250398
480837710,0.0
33456207,0.0
3345858640,0.0
39895121,0.0
313633589,0.0
1242131169304621057,0.0
297986745,0.0
355032977,0.0
297074777,0.0
889421222613626880,1441.7012634996086
56016987,0.0
1380182085906862080,0.0
1293199610178080775,0.0
3584557152,0.0
56164450,0.0
759765322782150656,0.0
238747752,0.0
284131433,135.23054209639884
1028871362499305473,0.0
3153084524,5262.025693291213
1131717785648807937,151.34480736069926
2339733614,0.0
52445295,0.0
246825072,38886.04771315343
451297395,0.0
365035637,3733.9839900882293
16564344,0.0
455900881,186.17207760164877
19087483,0.0
1573418346,0.0
2687762558,0.0
994295935,0.0
2341257349,16943.487729727873
1294478815628890112,0.0
73154696,0.0
170377354,9202.587062732662
371490958,0.0
1035525156,0.0
907302868645953537,12975.713779737649
3371630740,0.0
292044950,0.0
1000417428961091584,0.0
1326332447013953537,2381.0137364867833
18579611,0.0
3129501,0.0
999621483755286530,0.0
2648719520,0.0
1109405647366426624,30014.128511657367
1164159672082763777,1441.7012634996086
1171095411307753472,0.0
222571991,0.0
89609585,0.0
955591906741968896,0.0
1382793386,0.0
3382673579,0.0
108413104,79694.42778822439
85688497,0.0
220168370,0.0
4768334003,0.0
1529643188,0.0
988393705324199936,0.0
24571654,0.0
4922698441,0.0
2584515956,0.0
273465530,41854.266812519505
4114137119,0.0
1088471606639222784,344.63817307059907
1108436969351049217,925.3131556747048
1288005905691418625,252.60373291083647
932338860440162306,0.0
961134787,0.0
32948422,0.0
4395821867,18827.78441882531
16083660,0.0
1177551303725240322,0.0
115946871,0.0
2344419362,484145.4191796445
1431077072,0.0
929808596,0.0
925876396878020608,0.0
53772503,0.0
2854830300,238.59579037054013
2239987934,0.0
77283552,0.0
263684321,0.0
392380645,0.0
31525585,1560.8704902526624
17105128,0.0
945672241576136706,0.0
760249397103828992,5824.331534995133
121651443,0.0
246,0.0
2193211639,0.0
2363048184,0.0
1327928839847219201,7936.711031127526
94375347,0.0
233210108,157.93101124975973
433586429,0.0
544080126,0.0
1305607384358727680,11545.08954990414
1133910409814171648,0.0
12992772,0.0
1337443412220342272,0.0
3164387878,0.0
12599562,0.0
372359435,0.0
3242606862,111631.77285381587
1414050885999595522,0.0
294650131,1671.71849467887
1009115210546929664,0.0
197607704,4053.2833740300525
314032410,0.0
292667439,7020.392962505584
126075164,0.0
1173487902,0.0
256360738,433765.77398251416
1380338395,2264.4311617098697
319717668,0.0
113754405,36613.06022429527
1249895126111043584,0.0
963792240232488961,170983.67495593167
69233373,138.13492805013357
3434791216,217.35429726547753
47022386,0.0
66371891,0.0
1178019071821877250,227959.78201300628
1299403161564741633,4041.507696338908
47956279,0.0
2709029176,0.0
1439990076,0.0
993940874,0.0
52003137,0.0
1962787141,0.0
161562952,0.0
880491635896922112,53400.0
248103244,0.0
126353742,0.0
2555150671,178.80781983202715
2353185104,0.0
159318355,0.0
1161773396,0.0
160710998,2216.9698566147813
1247541393121087495,0.0
222139364,0.0
316571998,0.0
756134750746619905,0.0
156025186,0.0
516604259,0.0
323895654,0.0
1354514791,0.0
360677740,409732.4863387208
815415661,0.0
4850122813,0.0
486703473,0.0
1224753522,182.36962042778867
89309555,6287.567499743553
252150132,3944.1207028569315
1490829685,0.0
1424828295309402117,1.0
964952442,1040.6247178449162
746307966,235.61386622672902
1367155660933136384,203371.18087539505
1304621913231286272,211979.68931415665
38584709,329.8885490420968
756909131533922304,0.0
96027015,0.0
3142877576,0.0
2751371782,0.0
16220555,748801.7561733478
385008014,0.0
708739471,0.0
212484497,0.0
4230168979,0.0
803742445280194560,0.0
455786903,0.0
353239455,0.0
59916705,0.0
433488291,0.0
1239656154541600769,0.0
950848085802004480,0.0
1223950760,1266122.5243909166
123519401,0.0
1271855851330916353,0.0
1173035282461089793,0.0
396149168,5340.150797993028
1311277489,0.0
932099905,0.0
1048950719636590592,0.0
18940341,0.0
104300984,0.0
2375303610,0.0
25703839,0.0
102629820,0.0
1236419006,0.0
1147137986431258624,0.0
130857133,0.0
962255435766968322,0.0
24707528,0.0
3666395597,0.0
1645101518,0.0
2848325709,0.0
859029968,0.0
253086457,8638.052155610478
4600725976,0.0
956645852,0.0
487686623,0.0
421151200,0.0
1091450434500341761,0.0
17875426,0.0
281832187,0.0
2996830695,0.0
43745768,0.0
44171755,0.0
34947566,0.0
85625597,0.0
272056816,0.0
1293668417694658560,0.0
235274745,0.0
867807149279162372,0.0
1085244786897027072,0.0
212468225,0.0
601555458,0.0
937525764,0.0
