Id,Polygon
83508245,6
4568748862,6
44070432,6
1425866189780160514,6
1420552213253038080,6
335769776,6
401738614,6
1173429508034220032,6
1187132490684784642,6
16279532,6
216469057,6
1342125115383939073,6
273262205,6
3234862179,6
261772246,6
38625077,6
1063494232126689280,6
335361064,6
1125543746697924609,6
25127782,6
24990450,6
3025416359,6
1143229947932229632,6
521630301,6
1044738781171961856,6
2254171724,6
272617171,6
3115495914,6
737359208945844224,6
3375064758,6
720083863830069249,6
2555308646,6
268528986,6
1722999380,6
156288226,6
15810950,6
270570153,6
2149496034,6
24171225,6
129395750,6
14538949,6
3358671,6
964829521,6
1093140187486539777,6
248866864,6
1283934079,6
2733595406,6
1278253171,6
176207343,6
2375818352,6
3071709259,6
1686740173,6
324555383,6
1021022461,6
1104590774,6
237281828,6
321752222,6
172004509,6
243709627,6
38100599,6
4504267216,6
63210367,6
1319298517,6
1084856644687679496,6
3530226858,6
2530008414,6
1026225299057389569,6
739149720,6
791282631006621696,6
1382491059247255554,6
989311745100566529,6
1034798285389737984,6
1851503720,6
897770628,6
343059330,6
3356795013,6
47158291,6
34606493,6
4104867797,6
283179858,6
876849435820474368,6
1086084557009575936,6
256552850,6
1198299741060239360,6
883774859452579840,6
269930134,6
3136229996,6
943174774154498048,6
268832287,6
412708728,6
414218319,6
36133644,6
28804785,6
3402128080,6
564207331,6
955157569894404096,6
256360738,6
27079065,6
16220555,6
336662190,6
16180205,6
2852899113,6
1162219997977960449,6
2322580746,6
171115367,6
208750527,6
234550882,6
720579941184757760,6
436087744,6
3341414159,6
240786249,6
3257047456,6
22849568,6
500232993,6
1318671397560979456,6
3242606862,6
1166717268975333376,6
1171073846335721472,6
1304472952482783232,6
158458133,6
408072407,6
1072270926,6
1192858611879428097,6
2789770741,6
20199202,6
578640179,6
1899063048,6
2327530022,6
1002181382,6
47692251,6
40550119,6
2800741820,6
417389780,6
714340176,6
2937436849,6
272250877,6
803381983,6
382949896,6
205786669,6
1406573892,6
743129088,6
271073165,6
1942107584,6
1895316878,6
4269886099,6
631988630,6
1957288050,6
593944500,6
1381435843492085760,6
61521038,6
360677740,6
85428184,6
2891740872,6
47338701,6
290162716,6
2229187188,6
58319221,6
274507495,6
417524720,6
1626700808,6
415774799,6
579377522,6
2678072299,6
32915303,6
52080359,6
245954929,6
86384661,6
29754743,6
2983179809,6
1203545123356839936,6
170377354,6
2332742508,6
159655782,6
3320613061,6
1390883714,6
3363252329,6
1143342270399373313,6
3188558830,6
272185225,6
282526718,6
2352629420,6
4026045455,6
1144289639924207616,6
1427258589077508100,6
19634262,6
43510607,6
524557553,6
2513973205,6
2344419362,6
256775505,6
493488747,6
1382336580518621186,6
780323935,6
868245382148521984,6
1170770038208565248,6
339752726,6
132763075,6
200100603,6
16014404,6
249221867,6
3187763194,6
1881004363,6
2942312619,6
165812196,6
488052222,6
283226685,6
2874772780,6
45848808,6
1646334073,6
1360838234,6
2242940071,6
3142614406,6
2848993491,6
276713213,6
911471588,6
1707636642,6
1424828295309402117,6
175259033,6
121343164,6
814078628,6
266855812,6
341866567,6
215632349,6
17823761,6
60916234,6
196717787,6
158095776,3
18681111,3
106524304,3
142731825,3
109144163,3
3409346380,3
29545977,3
59686058,3
150270263,3
108413104,3
79260190,3
247412217,3
177347829,3
40246161,3
45976740,3
23491400,3
280552762,3
22665788,3
1497165457,3
218952640,3
74919901,3
266048357,3
15922687,3
37044121,3
577727470,3
211564038,3
294660973,3
119925381,3
163922710,3
21951711,3
277332906,3
551583496,3
25813888,3
14079041,3
189349553,3
21410801,3
24692082,3
17969963,3
35863342,3
2249182471,3
65666257,3
198927392,3
42702616,3
575497430,3
47452040,3
24913022,3
94176238,3
1604931252,3
3299711869,3
245564555,3
20139753,3
2715275551,3
475298690,3
366225624,3
1337408652416864259,3
377588094,3
1385933370090209280,1
1416535505454338050,1
544695802,1
716257068538327040,1
258170457,1
2817389862,1
822476228548403200,1
2353730881,1
921026239808208896,1
720934098223542272,1
2922779039,1
552891173,1
982496635,1
1433403537329819654,1
1175052073605353473,1
2784661153,1
102887506,1
952980338745147394,1
1438871779779530755,1
46975259,1
1157395568135557120,1
563064119,1
979827806023618560,1
18308257,1
846667915,1
258916078,1
1138564320390836224,1
17912334,1
2821464243,1
928790819145842688,1
753638148958216192,1
2256955027,1
1185936230393024512,1
3021899490,1
13880132,1
960624707820113920,1
52003137,1
1887595058,1
331864347,1
961514730,1
70750793,1
155629527,1
1161351506983038976,1
766360387,1
38471212,1
83153695,1
118937966,1
871189841186357248,1
293403080,1
629539554,1
1104422828,1
602083976,1
1311896805920043009,1
1318741345905922048,1
25314619,1
104300984,1
15702055,1
1153463878195589125,1
