R_Boissonnault,1447370971938111488,0
R_Boissonnault,1445906211417645057,20
POhara2021,1448324799227383810,0
POhara2021,1448131290641965058,3
POhara2021,1445929727580061698,0
POhara2021,1445929070374449152,1
RichardBragdon,1447682520217268228,1
RichardBragdon,1447551293799772178,1
RichardBragdon,1446455842870636545,1
GenereuxBernard,1448291305763840010,0
ElizabethMay,1447564140717953034,20
ElizabethMay,1447411639167426562,9
ElizabethMay,1446594452114456576,20
ElizabethMay,1446561413141389313,3
KevinVuongTO,1448373770155089920,1
KevinVuongTO,1447961520554614788,2
KevinVuongTO,1447961517660549125,4
PatrickBWeiler,1447644659174371330,2
PatrickBWeiler,1446642461175009281,2
Joanne_NL,1448293898166620161,2
Joanne_NL,1447914837267341312,1
MMcLeodNWT,1446495323430531073,1
MarcusPowlowski,1447340859905789955,1
HMcPhersonMP,1448058929649307648,2
HMcPhersonMP,1447952382747242500,18
HMcPhersonMP,1447586565379670019,2
HMcPhersonMP,1446579354482331650,2
HMcPhersonMP,1446575362381541378,2
HMcPhersonMP,1446225622444003328,2
RABlaney,1446147823490064384,3
LoriIdlout,1448232628784668673,0
LoriIdlout,1448030355890524161,0
LoriIdlout,1448027969629401097,4
LoriIdlout,1447946790649704450,2
LoriIdlout,1447729024021762049,0
LoriIdlout,1446311695740243972,3
LoriIdlout,1446263211003686916,10
LoriIdlout,1446226956580794370,1
LoriIdlout,1446155320728997891,0
LoriIdlout,1446102321038045188,0
LMathys,1447744513318002688,4
LMathys,1446202130914848775,0
alexboulerice,1447963643505745923,5
alexboulerice,1446965400462299140,0
alexboulerice,1446963306082750466,0
alexboulerice,1446622181589409803,6
alexboulerice,1446573777735888904,2
alexboulerice,1446125048700420102,3
alexboulerice,1446118194234552337,7
