Source,Target,Type,Id,Label,timeset,Weight
2399159960,Liberal,Directed,55391,,,5
214492262,Liberal,Directed,55392,,,36
1446352422272528385,Liberal,Directed,55397,,,18
2978018901,Liberal,Directed,55399,,,72
570841936,Liberal,Directed,55401,,,11
278771319,Liberal,Directed,55403,,,1
827354772,Liberal,Directed,55404,,,1
1260071875,Liberal,Directed,55405,,,1
280803757,Liberal,Directed,55407,,,1
1293643977468633091,Liberal,Directed,55408,,,2
327533387,Liberal,Directed,55410,,,7
972851747294273537,Liberal,Directed,55411,,,14
259986634,Liberal,Directed,55412,,,5
35672684,Liberal,Directed,55413,,,1
1316178719342379008,Liberal,Directed,55414,,,3
399050603,Liberal,Directed,55415,,,1
181327270,Liberal,Directed,55416,,,1
1269990092,Liberal,Directed,55417,,,1
721172734038777856,Liberal,Directed,55419,,,4
104037382,Liberal,Directed,55420,,,1
522269341,Liberal,Directed,55421,,,1
565113681,Liberal,Directed,55422,,,1
23382370,Liberal,Directed,55424,,,3
190451105,Liberal,Directed,55426,,,1
1404213189387046919,Liberal,Directed,55427,,,1
2688936277,Liberal,Directed,55428,,,5
272056816,Liberal,Directed,55432,,,2
357139615,Liberal,Directed,55435,,,1
16840274,Liberal,Directed,55436,,,1
2953004677,Liberal,Directed,55444,,,1
1439018845218361345,Liberal,Directed,55445,,,21
582828847,Bloc Québécois,Directed,55449,,,1
284131433,Bloc Québécois,Directed,55451,,,2
1066847336050147329,Bloc Québécois,Directed,55453,,,22
892064864,Bloc Québécois,Directed,55456,,,12
86425142,Bloc Québécois,Directed,55457,,,2
1210346707,Bloc Québécois,Directed,55458,,,3
541177087,Bloc Québécois,Directed,55461,,,5
598641595,Bloc Québécois,Directed,55465,,,13
768217681,Bloc Québécois,Directed,55466,,,3
479088229,Bloc Québécois,Directed,55467,,,33
1164339799,Bloc Québécois,Directed,55469,,,3
3578717895,Bloc Québécois,Directed,55473,,,22
129863114,Bloc Québécois,Directed,55475,,,21
195049872,Bloc Québécois,Directed,55477,,,25
160681232,Bloc Québécois,Directed,55478,,,5
2358613812,Liberal,Directed,55482,,,1
155098578,Liberal,Directed,55483,,,1
2821322901,Liberal,Directed,55484,,,1
301781766,Liberal,Directed,55485,,,1
4719872722,Liberal,Directed,55487,,,6
4966041,Liberal,Directed,55488,,,2
356406495,Liberal,Directed,55489,,,1
17389318,Liberal,Directed,55490,,,5
111106446,Liberal,Directed,55491,,,1
4787630420,Liberal,Directed,55492,,,10
2874749056,Liberal,Directed,55493,,,1
105490406,Liberal,Directed,55495,,,1
622800082,Liberal,Directed,55496,,,1
394245906,Liberal,Directed,55499,,,24
17721863,Bloc Québécois,Directed,55500,,,11
134876261,Bloc Québécois,Directed,55502,,,41
280064371,Bloc Québécois,Directed,55506,,,24
215423949,Bloc Québécois,Directed,55507,,,30
261772246,Bloc Québécois,Directed,55509,,,3
733455468,Bloc Québécois,Directed,55510,,,1
1032849138,Bloc Québécois,Directed,55513,,,2
1014015888,Bloc Québécois,Directed,55514,,,1
290683608,Bloc Québécois,Directed,55516,,,5
1106253079983390721,Bloc Québécois,Directed,55517,,,2
54034509,Bloc Québécois,Directed,55519,,,5
71444847,Bloc Québécois,Directed,55520,,,1
792139214,Bloc Québécois,Directed,55522,,,13
2377760095,Bloc Québécois,Directed,55524,,,24
227101581,Bloc Québécois,Directed,55525,,,1
1439240496921161733,Bloc Québécois,Directed,55527,,,5
161552398,Bloc Québécois,Directed,55528,,,5
982359026410209280,Bloc Québécois,Directed,55529,,,4
66446686,Bloc Québécois,Directed,55531,,,1
1342125115383939073,Bloc Québécois,Directed,55534,,,8
776856139,Bloc Québécois,Directed,55536,,,19
2305376845,Bloc Québécois,Directed,55539,,,1
455900881,Bloc Québécois,Directed,55540,,,4
2530008414,Bloc Québécois,Directed,55542,,,1
917184736501657600,Bloc Québécois,Directed,55546,,,3
1222668550080475136,Bloc Québécois,Directed,55547,,,5
131317072,Bloc Québécois,Directed,55548,,,4
139712323,Bloc Québécois,Directed,55552,,,6
831073214,Bloc Québécois,Directed,55554,,,1
750460751240888324,Bloc Québécois,Directed,55559,,,7
562762571,Bloc Québécois,Directed,55563,,,3
1342848846,Bloc Québécois,Directed,55567,,,12
156487702,Bloc Québécois,Directed,55569,,,5
190516402,Bloc Québécois,Directed,55571,,,1
280223998,Bloc Québécois,Directed,55572,,,3
172889446,Bloc Québécois,Directed,55575,,,1
956294047966081025,Bloc Québécois,Directed,55576,,,1
25371142,Bloc Québécois,Directed,55577,,,1
298558514,Bloc Québécois,Directed,55579,,,3
132191779,Bloc Québécois,Directed,55584,,,7
16213179,Bloc Québécois,Directed,55586,,,2
947989309239545857,Bloc Québécois,Directed,55588,,,2
746307966,Bloc Québécois,Directed,55589,,,3
72950055,Bloc Québécois,Directed,55590,,,2
1543396879,Bloc Québécois,Directed,55591,,,1
768392971,Bloc Québécois,Directed,55593,,,3
1383459804962639884,Bloc Québécois,Directed,55597,,,2
1090055713462865925,Bloc Québécois,Directed,55598,,,9
552741734,Bloc Québécois,Directed,55602,,,4
1440532151582134272,Bloc Québécois,Directed,55605,,,7
242506295,Bloc Québécois,Directed,55606,,,21
799272060,Bloc Québécois,Directed,55607,,,1
1353619250838183938,Bloc Québécois,Directed,55611,,,3
1518121218,Bloc Québécois,Directed,55612,,,1
1135278580689190912,Bloc Québécois,Directed,55613,,,1
1297264439662608384,Bloc Québécois,Directed,55619,,,2
89319056,Bloc Québécois,Directed,55620,,,1
996200380013916160,Bloc Québécois,Directed,55621,,,5
1288862425861836801,Bloc Québécois,Directed,55622,,,4
1425866189780160514,Bloc Québécois,Directed,55625,,,4
271136094,Bloc Québécois,Directed,55628,,,3
998328097,Bloc Québécois,Directed,55630,,,18
568429780,Bloc Québécois,Directed,55632,,,17
