Source,Target,Type,Id,Label,timeset,Weight
260265236,83508245,Directed,77478,,,2
787774368566816768,83508245,Directed,77479,,,1
857464194626727936,83508245,Directed,77480,,,2
1307814874999742464,83508245,Directed,77481,,,2
2550603348,83508245,Directed,77482,,,2
588883728,83508245,Directed,77483,,,2
2151791810,83508245,Directed,77484,,,2
1218282094213967875,83508245,Directed,77486,,,1
298222364,83508245,Directed,77487,,,1
1621356932,83508245,Directed,77488,,,1
1178575157364850689,83508245,Directed,77489,,,1
184975034,83508245,Directed,77490,,,1
458039162,83508245,Directed,77491,,,1
1421131101922332672,83508245,Directed,77492,,,1
1023170244766883840,83508245,Directed,77494,,,1
19352912,83508245,Directed,77495,,,1
1388453968888619009,83508245,Directed,77496,,,1
766392155258679296,83508245,Directed,77497,,,1
965449397717749760,83508245,Directed,77498,,,1
1408913981293662208,83508245,Directed,77499,,,1
903430820312076289,83508245,Directed,77500,,,1
3050546779,83508245,Directed,77501,,,1
2331287820,83508245,Directed,77503,,,1
810723502768713728,83508245,Directed,77505,,,1
2735613917,83508245,Directed,77507,,,1
1446352422272528385,83508245,Directed,77509,,,1
76768423,83508245,Directed,77510,,,1
184853651,83508245,Directed,77511,,,1
588497903,4568748862,Directed,77512,,,1
1419746989449744396,4568748862,Directed,77513,,,1
1442234721505742858,4568748862,Directed,77514,,,1
1440509126216347656,4568748862,Directed,77515,,,2
1446352422272528385,4568748862,Directed,77516,,,1
2318113219,4568748862,Directed,77518,,,1
17111337,4568748862,Directed,77519,,,1
1421263144274567172,44070432,Directed,77520,,,2
113654419,44070432,Directed,77521,,,1
2150171849,44070432,Directed,77522,,,1
1072692868651737088,44070432,Directed,77523,,,1
1238641643558928384,44070432,Directed,77524,,,1
733429965333520390,44070432,Directed,77525,,,1
18158343,44070432,Directed,77526,,,1
186980225,44070432,Directed,77528,,,1
51346243,44070432,Directed,77529,,,1
15331235,44070432,Directed,77530,,,2
180088458,44070432,Directed,77531,,,1
1446352422272528385,44070432,Directed,77532,,,1
3010165940,44070432,Directed,77533,,,1
76768423,44070432,Directed,77534,,,1
461582174,44070432,Directed,77536,,,1
2285515771,44070432,Directed,77537,,,1
129316450,1425866189780160514,Directed,77538,,,1
16014404,1425866189780160514,Directed,77539,,,1
182401775,1425866189780160514,Directed,77540,,,1
2370756440,1425866189780160514,Directed,77541,,,1
596009099,1425866189780160514,Directed,77542,,,1
1279885961841819649,1425866189780160514,Directed,77543,,,1
2212712047,1425866189780160514,Directed,77544,,,1
2801095093,1425866189780160514,Directed,77545,,,1
1249029070886666240,1425866189780160514,Directed,77546,,,1
600234980,1425866189780160514,Directed,77547,,,1
115587493,1425866189780160514,Directed,77548,,,1
1707025764,1425866189780160514,Directed,77549,,,1
1433606604218408963,1425866189780160514,Directed,77550,,,1
1917792367,1425866189780160514,Directed,77551,,,1
2797134487,1425866189780160514,Directed,77552,,,1
154915250,1425866189780160514,Directed,77553,,,1
2400000572,1425866189780160514,Directed,77554,,,1
559023147,1425866189780160514,Directed,77555,,,1
1280337364993429504,1425866189780160514,Directed,77556,,,1
2693735376,1425866189780160514,Directed,77557,,,2
1125543746697924609,1425866189780160514,Directed,77558,,,1
1212150302788345857,1425866189780160514,Directed,77559,,,1
165100373,1425866189780160514,Directed,77561,,,1
494170583,1420552213253038080,Directed,77562,,,2
1251518605600206850,1420552213253038080,Directed,77563,,,2
557289715,1420552213253038080,Directed,77564,,,1
1009785173011988480,1420552213253038080,Directed,77565,,,2
578590553,1420552213253038080,Directed,77566,,,1
122999764,1420552213253038080,Directed,77567,,,1
1423390095562915849,1420552213253038080,Directed,77568,,,1
1350206209119444996,1420552213253038080,Directed,77569,,,1
122144451,1420552213253038080,Directed,77570,,,1
708387548859604992,1420552213253038080,Directed,77571,,,3
11408322,1420552213253038080,Directed,77574,,,2
1707025764,1420552213253038080,Directed,77575,,,1
2369459569,1420552213253038080,Directed,77576,,,2
1212150302788345857,1420552213253038080,Directed,77577,,,1
754319153951944704,1420552213253038080,Directed,77578,,,1
2506299709,1420552213253038080,Directed,77579,,,1
2363571329,1420552213253038080,Directed,77580,,,2
104372498,1420552213253038080,Directed,77581,,,1
600234980,1420552213253038080,Directed,77582,,,1
1279885961841819649,1420552213253038080,Directed,77583,,,2
105106236,1420552213253038080,Directed,77584,,,1
165100373,1420552213253038080,Directed,77585,,,1
599677550,1420552213253038080,Directed,77586,,,1
92821882,1420552213253038080,Directed,77587,,,2
633211148,1420552213253038080,Directed,77588,,,2
2975160689,1420552213253038080,Directed,77589,,,2
97904065,1420552213253038080,Directed,77590,,,1
377591697,1420552213253038080,Directed,77591,,,1
2693735376,1420552213253038080,Directed,77592,,,2
1106771831837675521,1420552213253038080,Directed,77594,,,1
1040405782402084864,1420552213253038080,Directed,77595,,,1
243903847,1420552213253038080,Directed,77596,,,1
2801095093,1420552213253038080,Directed,77597,,,1
716760195729334272,1420552213253038080,Directed,77598,,,1
896911058459340800,1420552213253038080,Directed,77599,,,1
1249029070886666240,1420552213253038080,Directed,77601,,,1
1277702514,1420552213253038080,Directed,77602,,,1
2339595207,1420552213253038080,Directed,77605,,,1
559023147,1420552213253038080,Directed,77606,,,1
2196475508,1420552213253038080,Directed,77607,,,1
1280337364993429504,1420552213253038080,Directed,77608,,,1
281121545,1420552213253038080,Directed,77609,,,1
4623339465,1420552213253038080,Directed,77611,,,1
219566719,1420552213253038080,Directed,77612,,,1
197607704,1420552213253038080,Directed,77613,,,1
3379976578,1420552213253038080,Directed,77615,,,1
105975090,1420552213253038080,Directed,77616,,,1
1188166700,1420552213253038080,Directed,77617,,,1
1939552088,1420552213253038080,Directed,77620,,,1
2807682921,1420552213253038080,Directed,77621,,,1
446272806,1420552213253038080,Directed,77624,,,1
1326324303168737281,1420552213253038080,Directed,77625,,,1
1055761939,1420552213253038080,Directed,77626,,,1
1193202455716204545,1420552213253038080,Directed,77627,,,1
580978766,1420552213253038080,Directed,77628,,,1
244196762,335769776,Directed,77630,,,1
384018933,335769776,Directed,77631,,,1
332031063,335769776,Directed,77632,,,1
2557859383,335769776,Directed,77633,,,1
828691196310589440,335769776,Directed,77634,,,1
38584709,335769776,Directed,77635,,,2
514482028,335769776,Directed,77636,,,1
1223950760,335769776,Directed,77637,,,1
1265853916077527042,335769776,Directed,77638,,,1
1303704709123969024,335769776,Directed,77639,,,1
89505108,335769776,Directed,77640,,,2
208330966,335769776,Directed,77641,,,1
2448438361,335769776,Directed,77642,,,1
287303720,335769776,Directed,77643,,,1
16892654,335769776,Directed,77644,,,1
16272844,335769776,Directed,77645,,,5
265743906,335769776,Directed,77646,,,1
61562192,335769776,Directed,77647,,,3
425710711,335769776,Directed,77648,,,3
2399159960,335769776,Directed,77649,,,5
214492262,335769776,Directed,77650,,,1
1446352422272528385,335769776,Directed,77655,,,1
2978018901,335769776,Directed,77657,,,1
570841936,335769776,Directed,77659,,,1
278771319,335769776,Directed,77661,,,1
827354772,335769776,Directed,77662,,,1
1260071875,335769776,Directed,77663,,,1
280803757,335769776,Directed,77665,,,1
1293643977468633091,335769776,Directed,77666,,,1
327533387,335769776,Directed,77668,,,1
972851747294273537,335769776,Directed,77669,,,2
259986634,335769776,Directed,77670,,,1
35672684,335769776,Directed,77671,,,1
1316178719342379008,335769776,Directed,77672,,,3
399050603,335769776,Directed,77673,,,1
181327270,335769776,Directed,77674,,,1
1269990092,335769776,Directed,77675,,,1
721172734038777856,335769776,Directed,77677,,,4
104037382,335769776,Directed,77678,,,1
522269341,335769776,Directed,77679,,,1
565113681,335769776,Directed,77680,,,1
23382370,335769776,Directed,77682,,,3
190451105,335769776,Directed,77684,,,1
1404213189387046919,335769776,Directed,77685,,,1
2688936277,335769776,Directed,77686,,,3
272056816,335769776,Directed,77690,,,2
357139615,335769776,Directed,77693,,,1
16840274,335769776,Directed,77694,,,1
2953004677,335769776,Directed,77702,,,1
1439018845218361345,335769776,Directed,77703,,,1
2975160689,401738614,Directed,77705,,,2
1009785173011988480,401738614,Directed,77706,,,3
582828847,401738614,Directed,77707,,,1
1279885961841819649,401738614,Directed,77708,,,1
284131433,401738614,Directed,77709,,,1
2797134487,401738614,Directed,77710,,,1
1066847336050147329,401738614,Directed,77711,,,1
599677550,401738614,Directed,77712,,,1
2693735376,401738614,Directed,77713,,,4
892064864,401738614,Directed,77714,,,1
86425142,401738614,Directed,77715,,,1
1210346707,401738614,Directed,77716,,,1
600234980,401738614,Directed,77718,,,1
541177087,401738614,Directed,77719,,,1
1939552088,401738614,Directed,77720,,,1
598641595,401738614,Directed,77723,,,1
768217681,401738614,Directed,77724,,,1
479088229,401738614,Directed,77725,,,1
1164339799,401738614,Directed,77727,,,1
446272806,401738614,Directed,77728,,,1
2801095093,401738614,Directed,77729,,,1
3578717895,401738614,Directed,77731,,,1
129863114,401738614,Directed,77733,,,1
2693735376,1173429508034220032,Directed,77734,,,1
195049872,1187132490684784642,Directed,77735,,,1
160681232,1187132490684784642,Directed,77736,,,1
2801095093,1187132490684784642,Directed,77737,,,1
2975160689,1187132490684784642,Directed,77738,,,1
16272844,16279532,Directed,77739,,,2
2358613812,16279532,Directed,77740,,,1
155098578,16279532,Directed,77741,,,1
2821322901,16279532,Directed,77742,,,1
301781766,16279532,Directed,77743,,,1
1223950760,16279532,Directed,77744,,,2
