1439018845218361345,86384661,1,"Liberal","No Affiliation"
1098431118,86384661,1,"Liberal","No Affiliation"
1198941983462612993,86384661,1,"Liberal","No Affiliation"
1184831003266867205,86384661,1,"Liberal","No Affiliation"
570841936,86384661,1,"Liberal","No Affiliation"
2416893024,86384661,1,"Liberal","No Affiliation"
3087236264,86384661,1,"Liberal","No Affiliation"
568728759,86384661,1,"Liberal","No Affiliation"
1154768018804809728,86384661,1,"Liberal","No Affiliation"
154311944,86384661,1,"Liberal","No Affiliation"
1393995874846613510,86384661,1,"Liberal","No Affiliation"
1108409631334793216,86384661,1,"Liberal","No Affiliation"
89505108,86384661,3,"Liberal","No Affiliation"
25206117,86384661,1,"Liberal","No Affiliation"
844204012798984194,86384661,1,"Liberal","No Affiliation"
796839329368866817,86384661,1,"Liberal","No Affiliation"
385678932,86384661,1,"Liberal","No Affiliation"
1200800036331966464,86384661,2,"Liberal","No Affiliation"
972851747294273537,86384661,1,"Liberal","No Affiliation"
20307719,86384661,1,"Liberal","No Affiliation"
2434162616,86384661,1,"Liberal","No Affiliation"
21056196,86384661,1,"Liberal","No Affiliation"
914701376906600449,2344419362,3,"Liberal","No Affiliation"
919548186590621696,2344419362,1,"Liberal","No Affiliation"
89309555,2344419362,7,"Liberal","No Affiliation"
2293400150,2344419362,1,"Liberal","No Affiliation"
1432822363,2344419362,1,"Liberal","No Affiliation"
1166197440,2344419362,1,"Liberal","No Affiliation"
2577417224,2344419362,1,"Liberal","No Affiliation"
214492262,2344419362,3,"Liberal","No Affiliation"
3294127299,2344419362,1,"Liberal","No Affiliation"
38520056,2344419362,1,"Liberal","No Affiliation"
1304846484249161729,2344419362,1,"Liberal","No Affiliation"
2262304373,2344419362,1,"Liberal","No Affiliation"
2148927146,2344419362,1,"Liberal","No Affiliation"
104351679,2344419362,1,"Liberal","No Affiliation"
30165114,2344419362,1,"Liberal","No Affiliation"
819185162479144960,2344419362,1,"Liberal","No Affiliation"
68372616,2344419362,1,"Liberal","No Affiliation"
820826373916921856,2344419362,2,"Liberal","No Affiliation"
1327928839847219201,2344419362,1,"Liberal","No Affiliation"
1427258589077508100,2344419362,1,"Liberal","Liberal"
3221899499,2344419362,1,"Liberal","No Affiliation"
336357663,2344419362,1,"Liberal","No Affiliation"
88476286,2344419362,1,"Liberal","No Affiliation"
1360345646826483717,2344419362,1,"Liberal","No Affiliation"
1183544021626621953,2344419362,1,"Liberal","No Affiliation"
1227388670803677186,2344419362,2,"Liberal","No Affiliation"
135498902,2344419362,1,"Liberal","No Affiliation"
88714562,2344419362,1,"Liberal","No Affiliation"
16272844,2344419362,11,"Liberal","No Affiliation"
265743906,2344419362,1,"Liberal","No Affiliation"
245149238,2344419362,1,"Liberal","No Affiliation"
1719914058,2344419362,1,"Liberal","No Affiliation"
967178808368549889,2344419362,1,"Liberal","No Affiliation"
266325764,2344419362,1,"Liberal","No Affiliation"
116273085,2344419362,2,"Liberal","No Affiliation"
964595772,2344419362,1,"Liberal","No Affiliation"
1474351362,2344419362,1,"Liberal","No Affiliation"
1033285939,2344419362,1,"Liberal","No Affiliation"
244650352,2344419362,1,"Liberal","No Affiliation"
1419992380422373376,2344419362,1,"Liberal","No Affiliation"
1446352422272528385,2344419362,1,"Liberal","No Affiliation"
485544916,2344419362,2,"Liberal","No Affiliation"
609432652,2344419362,1,"Liberal","No Affiliation"
928773218,2344419362,1,"Liberal","No Affiliation"
425710711,2344419362,2,"Liberal","No Affiliation"
1229382793953714176,2344419362,1,"Liberal","No Affiliation"
763377249047412736,2344419362,1,"Liberal","No Affiliation"
2978018901,2344419362,2,"Liberal","No Affiliation"
2375939700,2344419362,1,"Liberal","No Affiliation"
983875620194013184,2344419362,1,"Liberal","No Affiliation"
1213405462021853185,2344419362,2,"Liberal","No Affiliation"
241923768,2344419362,1,"Liberal","No Affiliation"
1534736059,2344419362,1,"Liberal","No Affiliation"
2345269014,2344419362,1,"Liberal","No Affiliation"
1028421941957292032,2344419362,1,"Liberal","No Affiliation"
730740364370444288,2344419362,1,"Liberal","No Affiliation"
1348291104328843264,2344419362,1,"Liberal","No Affiliation"
1646524483,2344419362,1,"Liberal","No Affiliation"
37787774,2344419362,1,"Liberal","No Affiliation"
1360055740904312832,2344419362,1,"Liberal","No Affiliation"
